GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMAE001,NAME_M,JMAM001
G250003028180,2006-2010,,,Massachusetts,25,Berkshire County,3,Hancock town,28180,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hancock town, Berkshire County, Massachusetts",718,"Hancock town, Berkshire County, Massachusetts",127
G250003030315,2006-2010,,,Massachusetts,25,Berkshire County,3,Hinsdale town,30315,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hinsdale town, Berkshire County, Massachusetts",2228,"Hinsdale town, Berkshire County, Massachusetts",188
G250003034340,2006-2010,,,Massachusetts,25,Berkshire County,3,Lanesborough town,34340,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lanesborough town, Berkshire County, Massachusetts",3072,"Lanesborough town, Berkshire County, Massachusetts",20
G250003034655,2006-2010,,,Massachusetts,25,Berkshire County,3,Lee town,34655,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee town, Berkshire County, Massachusetts",5934,"Lee town, Berkshire County, Massachusetts",17
G250003034970,2006-2010,,,Massachusetts,25,Berkshire County,3,Lenox town,34970,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lenox town, Berkshire County, Massachusetts",5022,"Lenox town, Berkshire County, Massachusetts",15
G250003042460,2006-2010,,,Massachusetts,25,Berkshire County,3,Monterey town,42460,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monterey town, Berkshire County, Massachusetts",773,"Monterey town, Berkshire County, Massachusetts",240
G250003043300,2006-2010,,,Massachusetts,25,Berkshire County,3,Mount Washington town,43300,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mount Washington town, Berkshire County, Massachusetts",133,"Mount Washington town, Berkshire County, Massachusetts",38
G250003044385,2006-2010,,,Massachusetts,25,Berkshire County,3,New Ashford town,44385,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Ashford town, Berkshire County, Massachusetts",234,"New Ashford town, Berkshire County, Massachusetts",54
G250003045420,2006-2010,,,Massachusetts,25,Berkshire County,3,New Marlborough town,45420,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Marlborough town, Berkshire County, Massachusetts",1598,"New Marlborough town, Berkshire County, Massachusetts",206
G250003046225,2006-2010,,,Massachusetts,25,Berkshire County,3,North Adams city,46225,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Adams city, Berkshire County, Massachusetts",13851,"North Adams city, Berkshire County, Massachusetts",26
G250003051580,2006-2010,,,Massachusetts,25,Berkshire County,3,Otis town,51580,,,,,,,,,,,,,,,,,,,,,,,,,,,"Otis town, Berkshire County, Massachusetts",1177,"Otis town, Berkshire County, Massachusetts",157
G250003053050,2006-2010,,,Massachusetts,25,Berkshire County,3,Peru town,53050,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peru town, Berkshire County, Massachusetts",816,"Peru town, Berkshire County, Massachusetts",128
G250003053960,2006-2010,,,Massachusetts,25,Berkshire County,3,Pittsfield city,53960,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pittsfield city, Berkshire County, Massachusetts",44788,"Pittsfield city, Berkshire County, Massachusetts",34
G250003056795,2006-2010,,,Massachusetts,25,Berkshire County,3,Richmond town,56795,,,,,,,,,,,,,,,,,,,,,,,,,,,"Richmond town, Berkshire County, Massachusetts",1710,"Richmond town, Berkshire County, Massachusetts",149
G250003059665,2006-2010,,,Massachusetts,25,Berkshire County,3,Sandisfield town,59665,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sandisfield town, Berkshire County, Massachusetts",831,"Sandisfield town, Berkshire County, Massachusetts",114
G250003060225,2006-2010,,,Massachusetts,25,Berkshire County,3,Savoy town,60225,,,,,,,,,,,,,,,,,,,,,,,,,,,"Savoy town, Berkshire County, Massachusetts",747,"Savoy town, Berkshire County, Massachusetts",109
G250003061065,2006-2010,,,Massachusetts,25,Berkshire County,3,Sheffield town,61065,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sheffield town, Berkshire County, Massachusetts",3261,"Sheffield town, Berkshire County, Massachusetts",16
G250003067595,2006-2010,,,Massachusetts,25,Berkshire County,3,Stockbridge town,67595,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stockbridge town, Berkshire County, Massachusetts",1671,"Stockbridge town, Berkshire County, Massachusetts",302
G250003071095,2006-2010,,,Massachusetts,25,Berkshire County,3,Tyringham town,71095,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tyringham town, Berkshire County, Massachusetts",408,"Tyringham town, Berkshire County, Massachusetts",81
G250003073335,2006-2010,,,Massachusetts,25,Berkshire County,3,Washington town,73335,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington town, Berkshire County, Massachusetts",593,"Washington town, Berkshire County, Massachusetts",105
G250003077990,2006-2010,,,Massachusetts,25,Berkshire County,3,West Stockbridge town,77990,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Stockbridge town, Berkshire County, Massachusetts",1525,"West Stockbridge town, Berkshire County, Massachusetts",164
G250003079985,2006-2010,,,Massachusetts,25,Berkshire County,3,Williamstown town,79985,,,,,,,,,,,,,,,,,,,,,,,,,,,"Williamstown town, Berkshire County, Massachusetts",7879,"Williamstown town, Berkshire County, Massachusetts",26
G250003080685,2006-2010,,,Massachusetts,25,Berkshire County,3,Windsor town,80685,,,,,,,,,,,,,,,,,,,,,,,,,,,"Windsor town, Berkshire County, Massachusetts",970,"Windsor town, Berkshire County, Massachusetts",133
G250005000000,2006-2010,,,Massachusetts,25,Bristol County,5,County subdivisions not defined,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"County subdivisions not defined, Bristol County, Massachusetts",0,"County subdivisions not defined, Bristol County, Massachusetts",127
G250005000520,2006-2010,,,Massachusetts,25,Bristol County,5,Acushnet town,520,,,,,,,,,,,,,,,,,,,,,,,,,,,"Acushnet town, Bristol County, Massachusetts",10288,"Acushnet town, Bristol County, Massachusetts",28
