GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMAE001,NAME_M,JMAM001
G250011012505,2006-2010,,,Massachusetts,25,Franklin County,11,Charlemont town,12505,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charlemont town, Franklin County, Massachusetts",1199,"Charlemont town, Franklin County, Massachusetts",127
G250011014885,2006-2010,,,Massachusetts,25,Franklin County,11,Colrain town,14885,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colrain town, Franklin County, Massachusetts",1811,"Colrain town, Franklin County, Massachusetts",163
G250011015200,2006-2010,,,Massachusetts,25,Franklin County,11,Conway town,15200,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conway town, Franklin County, Massachusetts",1917,"Conway town, Franklin County, Massachusetts",148
G250011016670,2006-2010,,,Massachusetts,25,Franklin County,11,Deerfield town,16670,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deerfield town, Franklin County, Massachusetts",5070,"Deerfield town, Franklin County, Massachusetts",18
G250011021780,2006-2010,,,Massachusetts,25,Franklin County,11,Erving town,21780,,,,,,,,,,,,,,,,,,,,,,,,,,,"Erving town, Franklin County, Massachusetts",1822,"Erving town, Franklin County, Massachusetts",180
G250011025730,2006-2010,,,Massachusetts,25,Franklin County,11,Gill town,25730,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gill town, Franklin County, Massachusetts",1413,"Gill town, Franklin County, Massachusetts",122
G250011027100,2006-2010,,,Massachusetts,25,Franklin County,11,Greenfield Town city,27100,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenfield Town city, Franklin County, Massachusetts",17610,"Greenfield Town city, Franklin County, Massachusetts",25
G250011029475,2006-2010,,,Massachusetts,25,Franklin County,11,Hawley town,29475,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hawley town, Franklin County, Massachusetts",354,"Hawley town, Franklin County, Massachusetts",84
G250011029650,2006-2010,,,Massachusetts,25,Franklin County,11,Heath town,29650,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heath town, Franklin County, Massachusetts",438,"Heath town, Franklin County, Massachusetts",91
G250011035180,2006-2010,,,Massachusetts,25,Franklin County,11,Leverett town,35180,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leverett town, Franklin County, Massachusetts",1803,"Leverett town, Franklin County, Massachusetts",239
G250011035285,2006-2010,,,Massachusetts,25,Franklin County,11,Leyden town,35285,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leyden town, Franklin County, Massachusetts",650,"Leyden town, Franklin County, Massachusetts",133
G250011042040,2006-2010,,,Massachusetts,25,Franklin County,11,Monroe town,42040,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe town, Franklin County, Massachusetts",110,"Monroe town, Franklin County, Massachusetts",42
G250011042285,2006-2010,,,Massachusetts,25,Franklin County,11,Montague town,42285,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montague town, Franklin County, Massachusetts",8454,"Montague town, Franklin County, Massachusetts",22
G250011045490,2006-2010,,,Massachusetts,25,Franklin County,11,New Salem town,45490,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Salem town, Franklin County, Massachusetts",931,"New Salem town, Franklin County, Massachusetts",136
G250011047835,2006-2010,,,Massachusetts,25,Franklin County,11,Northfield town,47835,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northfield town, Franklin County, Massachusetts",3029,"Northfield town, Franklin County, Massachusetts",23
G250011051265,2006-2010,,,Massachusetts,25,Franklin County,11,Orange town,51265,,,,,,,,,,,,,,,,,,,,,,,,,,,"Orange town, Franklin County, Massachusetts",7795,"Orange town, Franklin County, Massachusetts",18
G250011058335,2006-2010,,,Massachusetts,25,Franklin County,11,Rowe town,58335,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rowe town, Franklin County, Massachusetts",387,"Rowe town, Franklin County, Massachusetts",54
G250011061135,2006-2010,,,Massachusetts,25,Franklin County,11,Shelburne town,61135,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelburne town, Franklin County, Massachusetts",2035,"Shelburne town, Franklin County, Massachusetts",264
G250011061905,2006-2010,,,Massachusetts,25,Franklin County,11,Shutesbury town,61905,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shutesbury town, Franklin County, Massachusetts",1890,"Shutesbury town, Franklin County, Massachusetts",187
G250011068400,2006-2010,,,Massachusetts,25,Franklin County,11,Sunderland town,68400,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunderland town, Franklin County, Massachusetts",3712,"Sunderland town, Franklin County, Massachusetts",23
G250011073265,2006-2010,,,Massachusetts,25,Franklin County,11,Warwick town,73265,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warwick town, Franklin County, Massachusetts",547,"Warwick town, Franklin County, Massachusetts",103
G250011074525,2006-2010,,,Massachusetts,25,Franklin County,11,Wendell town,74525,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wendell town, Franklin County, Massachusetts",939,"Wendell town, Franklin County, Massachusetts",145
G250011079110,2006-2010,,,Massachusetts,25,Franklin County,11,Whately town,79110,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whately town, Franklin County, Massachusetts",1566,"Whately town, Franklin County, Massachusetts",207
G250013000840,2006-2010,,,Massachusetts,25,Hampden County,13,Agawam Town city,840,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agawam Town city, Hampden County, Massachusetts",28383,"Agawam Town city, Hampden County, Massachusetts",23
G250013006085,2006-2010,,,Massachusetts,25,Hampden County,13,Blandford town,6085,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blandford town, Hampden County, Massachusetts",1184,"Blandford town, Hampden County, Massachusetts",122
G250013008470,2006-2010,,,Massachusetts,25,Hampden County,13,Brimfield town,8470,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brimfield town, Hampden County, Massachusetts",3557,"Brimfield town, Hampden County, Massachusetts",13
G250013013485,2006-2010,,,Massachusetts,25,Hampden County,13,Chester town,13485,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chester town, Hampden County, Massachusetts",1275,"Chester town, Hampden County, Massachusetts",132
G250013013660,2006-2010,,,Massachusetts,25,Hampden County,13,Chicopee city,13660,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicopee city, Hampden County, Massachusetts",55165,"Chicopee city, Hampden County, Massachusetts",32
G250013019645,2006-2010,,,Massachusetts,25,Hampden County,13,East Longmeadow town,19645,,,,,,,,,,,,,,,,,,,,,,,,,,,"East Longmeadow town, Hampden County, Massachusetts",15446,"East Longmeadow town, Hampden County, Massachusetts",26
G250013026675,2006-2010,,,Massachusetts,25,Hampden County,13,Granville town,26675,,,,,,,,,,,,,,,,,,,,,,,,,,,"Granville town, Hampden County, Massachusetts",1525,"Granville town, Hampden County, Massachusetts",152
G250013028075,2006-2010,,,Massachusetts,25,Hampden County,13,Hampden town,28075,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hampden town, Hampden County, Massachusetts",5126,"Hampden town, Hampden County, Massachusetts",19
G250013030665,2006-2010,,,Massachusetts,25,Hampden County,13,Holland town,30665,,,,,,,,,,,,,,,,,,,,,,,,,,,"Holland town, Hampden County, Massachusetts",2644,"Holland town, Hampden County, Massachusetts",231
G250013030840,2006-2010,,,Massachusetts,25,Hampden County,13,Holyoke city,30840,,,,,,,,,,,,,,,,,,,,,,,,,,,"Holyoke city, Hampden County, Massachusetts",39885,"Holyoke city, Hampden County, Massachusetts",28
G250013036300,2006-2010,,,Massachusetts,25,Hampden County,13,Longmeadow town,36300,,,,,,,,,,,,,,,,,,,,,,,,,,,"Longmeadow town, Hampden County, Massachusetts",15759,"Longmeadow town, Hampden County, Massachusetts",24
G250013037175,2006-2010,,,Massachusetts,25,Hampden County,13,Ludlow town,37175,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ludlow town, Hampden County, Massachusetts",21156,"Ludlow town, Hampden County, Massachusetts",25
G250013042145,2006-2010,,,Massachusetts,25,Hampden County,13,Monson town,42145,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monson town, Hampden County, Massachusetts",8534,"Monson town, Hampden County, Massachusetts",45
G250013042530,2006-2010,,,Massachusetts,25,Hampden County,13,Montgomery town,42530,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery town, Hampden County, Massachusetts",732,"Montgomery town, Hampden County, Massachusetts",118
G250013052144,2006-2010,,,Massachusetts,25,Hampden County,13,Palmer Town city,52144,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palmer Town city, Hampden County, Massachusetts",12196,"Palmer Town city, Hampden County, Massachusetts",23
G250013058650,2006-2010,,,Massachusetts,25,Hampden County,13,Russell town,58650,,,,,,,,,,,,,,,,,,,,,,,,,,,"Russell town, Hampden County, Massachusetts",1665,"Russell town, Hampden County, Massachusetts",211
G250013065825,2006-2010,,,Massachusetts,25,Hampden County,13,Southwick town,65825,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southwick town, Hampden County, Massachusetts",9378,"Southwick town, Hampden County, Massachusetts",21
G250013067000,2006-2010,,,Massachusetts,25,Hampden County,13,Springfield city,67000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Springfield city, Hampden County, Massachusetts",152906,"Springfield city, Hampden County, Massachusetts",73
G250013070045,2006-2010,,,Massachusetts,25,Hampden County,13,Tolland town,70045,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tolland town, Hampden County, Massachusetts",494,"Tolland town, Hampden County, Massachusetts",102
G250013072390,2006-2010,,,Massachusetts,25,Hampden County,13,Wales town,72390,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wales town, Hampden County, Massachusetts",1910,"Wales town, Hampden County, Massachusetts",198
G250013076030,2006-2010,,,Massachusetts,25,Hampden County,13,Westfield city,76030,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westfield city, Hampden County, Massachusetts",40974,"Westfield city, Hampden County, Massachusetts",24
G250013077890,2006-2010,,,Massachusetts,25,Hampden County,13,West Springfield Town city,77890,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Springfield Town city, Hampden County, Massachusetts",28287,"West Springfield Town city, Hampden County, Massachusetts",29
G250013079740,2006-2010,,,Massachusetts,25,Hampden County,13,Wilbraham town,79740,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilbraham town, Hampden County, Massachusetts",14089,"Wilbraham town, Hampden County, Massachusetts",27
G250015001325,2006-2010,,,Massachusetts,25,Hampshire County,15,Amherst town,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amherst town, Hampshire County, Massachusetts",37403,"Amherst town, Hampshire County, Massachusetts",29
G250015004825,2006-2010,,,Massachusetts,25,Hampshire County,15,Belchertown town,4825,,,,,,,,,,,,,,,,,,,,,,,,,,,"Belchertown town, Hampshire County, Massachusetts",14354,"Belchertown town, Hampshire County, Massachusetts",33
G250015013590,2006-2010,,,Massachusetts,25,Hampshire County,15,Chesterfield town,13590,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chesterfield town, Hampshire County, Massachusetts",1015,"Chesterfield town, Hampshire County, Massachusetts",98
G250015016040,2006-2010,,,Massachusetts,25,Hampshire County,15,Cummington town,16040,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cummington town, Hampshire County, Massachusetts",1100,"Cummington town, Hampshire County, Massachusetts",184
G250015019370,2006-2010,,,Massachusetts,25,Hampshire County,15,Easthampton Town city,19370,,,,,,,,,,,,,,,,,,,,,,,,,,,"Easthampton Town city, Hampshire County, Massachusetts",16054,"Easthampton Town city, Hampshire County, Massachusetts",35
G250015026290,2006-2010,,,Massachusetts,25,Hampshire County,15,Goshen town,26290,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goshen town, Hampshire County, Massachusetts",1080,"Goshen town, Hampshire County, Massachusetts",207
G250015026535,2006-2010,,,Massachusetts,25,Hampshire County,15,Granby town,26535,,,,,,,,,,,,,,,,,,,,,,,,,,,"Granby town, Hampshire County, Massachusetts",6229,"Granby town, Hampshire County, Massachusetts",18
G250015027690,2006-2010,,,Massachusetts,25,Hampshire County,15,Hadley town,27690,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hadley town, Hampshire County, Massachusetts",5176,"Hadley town, Hampshire County, Massachusetts",22
G250015029265,2006-2010,,,Massachusetts,25,Hampshire County,15,Hatfield town,29265,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hatfield town, Hampshire County, Massachusetts",3268,"Hatfield town, Hampshire County, Massachusetts",26
G250015031785,2006-2010,,,Massachusetts,25,Hampshire County,15,Huntington town,31785,,,,,,,,,,,,,,,,,,,,,,,,,,,"Huntington town, Hampshire County, Massachusetts",2206,"Huntington town, Hampshire County, Massachusetts",171
G250015040990,2006-2010,,,Massachusetts,25,Hampshire County,15,Middlefield town,40990,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middlefield town, Hampshire County, Massachusetts",418,"Middlefield town, Hampshire County, Massachusetts",104
G250015046330,2006-2010,,,Massachusetts,25,Hampshire County,15,Northampton city,46330,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northampton city, Hampshire County, Massachusetts",28709,"Northampton city, Hampshire County, Massachusetts",92
G250015052560,2006-2010,,,Massachusetts,25,Hampshire County,15,Pelham town,52560,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pelham town, Hampshire County, Massachusetts",1246,"Pelham town, Hampshire County, Massachusetts",69
G250015054030,2006-2010,,,Massachusetts,25,Hampshire County,15,Plainfield town,54030,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plainfield town, Hampshire County, Massachusetts",611,"Plainfield town, Hampshire County, Massachusetts",72
G250015062745,2006-2010,,,Massachusetts,25,Hampshire County,15,Southampton town,62745,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southampton town, Hampshire County, Massachusetts",5718,"Southampton town, Hampshire County, Massachusetts",29
G250015064145,2006-2010,,,Massachusetts,25,Hampshire County,15,South Hadley town,64145,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Hadley town, Hampshire County, Massachusetts",17494,"South Hadley town, Hampshire County, Massachusetts",25
G250015072880,2006-2010,,,Massachusetts,25,Hampshire County,15,Ware town,72880,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ware town, Hampshire County, Massachusetts",9860,"Ware town, Hampshire County, Massachusetts",28
G250015076380,2006-2010,,,Massachusetts,25,Hampshire County,15,Westhampton town,76380,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westhampton town, Hampshire County, Massachusetts",1585,"Westhampton town, Hampshire County, Massachusetts",99
G250015079915,2006-2010,,,Massachusetts,25,Hampshire County,15,Williamsburg town,79915,,,,,,,,,,,,,,,,,,,,,,,,,,,"Williamsburg town, Hampshire County, Massachusetts",2633,"Williamsburg town, Hampshire County, Massachusetts",254
G250015082175,2006-2010,,,Massachusetts,25,Hampshire County,15,Worthington town,82175,,,,,,,,,,,,,,,,,,,,,,,,,,,"Worthington town, Hampshire County, Massachusetts",1167,"Worthington town, Hampshire County, Massachusetts",115
G250017000380,2006-2010,,,Massachusetts,25,Middlesex County,17,Acton town,380,,,,,,,,,,,,,,,,,,,,,,,,,,,"Acton town, Middlesex County, Massachusetts",21376,"Acton town, Middlesex County, Massachusetts",35
G250017001605,2006-2010,,,Massachusetts,25,Middlesex County,17,Arlington town,1605,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arlington town, Middlesex County, Massachusetts",42240,"Arlington town, Middlesex County, Massachusetts",69
G250017001955,2006-2010,,,Massachusetts,25,Middlesex County,17,Ashby town,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashby town, Middlesex County, Massachusetts",2987,"Ashby town, Middlesex County, Massachusetts",21
G250017002130,2006-2010,,,Massachusetts,25,Middlesex County,17,Ashland town,2130,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashland town, Middlesex County, Massachusetts",16053,"Ashland town, Middlesex County, Massachusetts",34
G250017003005,2006-2010,,,Massachusetts,25,Middlesex County,17,Ayer town,3005,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ayer town, Middlesex County, Massachusetts",7314,"Ayer town, Middlesex County, Massachusetts",29
G250017004615,2006-2010,,,Massachusetts,25,Middlesex County,17,Bedford town,4615,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bedford town, Middlesex County, Massachusetts",13071,"Bedford town, Middlesex County, Massachusetts",25
G250017005070,2006-2010,,,Massachusetts,25,Middlesex County,17,Belmont town,5070,,,,,,,,,,,,,,,,,,,,,,,,,,,"Belmont town, Middlesex County, Massachusetts",24356,"Belmont town, Middlesex County, Massachusetts",28
G250017005805,2006-2010,,,Massachusetts,25,Middlesex County,17,Billerica town,5805,,,,,,,,,,,,,,,,,,,,,,,,,,,"Billerica town, Middlesex County, Massachusetts",39572,"Billerica town, Middlesex County, Massachusetts",42
G250017007350,2006-2010,,,Massachusetts,25,Middlesex County,17,Boxborough town,7350,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boxborough town, Middlesex County, Massachusetts",4908,"Boxborough town, Middlesex County, Massachusetts",26
G250017009840,2006-2010,,,Massachusetts,25,Middlesex County,17,Burlington town,9840,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burlington town, Middlesex County, Massachusetts",23926,"Burlington town, Middlesex County, Massachusetts",26
G250017011000,2006-2010,,,Massachusetts,25,Middlesex County,17,Cambridge city,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cambridge city, Middlesex County, Massachusetts",103506,"Cambridge city, Middlesex County, Massachusetts",49
G250017011525,2006-2010,,,Massachusetts,25,Middlesex County,17,Carlisle town,11525,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carlisle town, Middlesex County, Massachusetts",4766,"Carlisle town, Middlesex County, Massachusetts",26
G250017013135,2006-2010,,,Massachusetts,25,Middlesex County,17,Chelmsford town,13135,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chelmsford town, Middlesex County, Massachusetts",33368,"Chelmsford town, Middlesex County, Massachusetts",28
G250017015060,2006-2010,,,Massachusetts,25,Middlesex County,17,Concord town,15060,,,,,,,,,,,,,,,,,,,,,,,,,,,"Concord town, Middlesex County, Massachusetts",17373,"Concord town, Middlesex County, Massachusetts",24
G250017017475,2006-2010,,,Massachusetts,25,Middlesex County,17,Dracut town,17475,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dracut town, Middlesex County, Massachusetts",28960,"Dracut town, Middlesex County, Massachusetts",26
G250017017825,2006-2010,,,Massachusetts,25,Middlesex County,17,Dunstable town,17825,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dunstable town, Middlesex County, Massachusetts",3076,"Dunstable town, Middlesex County, Massachusetts",22
G250017021990,2006-2010,,,Massachusetts,25,Middlesex County,17,Everett city,21990,,,,,,,,,,,,,,,,,,,,,,,,,,,"Everett city, Middlesex County, Massachusetts",40560,"Everett city, Middlesex County, Massachusetts",27
G250017024925,2006-2010,,,Massachusetts,25,Middlesex County,17,Framingham town,24925,,,,,,,,,,,,,,,,,,,,,,,,,,,"Framingham town, Middlesex County, Massachusetts",67339,"Framingham town, Middlesex County, Massachusetts",36
G250017027480,2006-2010,,,Massachusetts,25,Middlesex County,17,Groton town,27480,,,,,,,,,,,,,,,,,,,,,,,,,,,"Groton town, Middlesex County, Massachusetts",10327,"Groton town, Middlesex County, Massachusetts",17
G250017030700,2006-2010,,,Massachusetts,25,Middlesex County,17,Holliston town,30700,,,,,,,,,,,,,,,,,,,,,,,,,,,"Holliston town, Middlesex County, Massachusetts",13431,"Holliston town, Middlesex County, Massachusetts",29
G250017031085,2006-2010,,,Massachusetts,25,Middlesex County,17,Hopkinton town,31085,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hopkinton town, Middlesex County, Massachusetts",14474,"Hopkinton town, Middlesex County, Massachusetts",20
G250017031540,2006-2010,,,Massachusetts,25,Middlesex County,17,Hudson town,31540,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hudson town, Middlesex County, Massachusetts",18643,"Hudson town, Middlesex County, Massachusetts",33
G250017035215,2006-2010,,,Massachusetts,25,Middlesex County,17,Lexington town,35215,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lexington town, Middlesex County, Massachusetts",30862,"Lexington town, Middlesex County, Massachusetts",40
G250017035425,2006-2010,,,Massachusetts,25,Middlesex County,17,Lincoln town,35425,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lincoln town, Middlesex County, Massachusetts",6552,"Lincoln town, Middlesex County, Massachusetts",19
G250017035950,2006-2010,,,Massachusetts,25,Middlesex County,17,Littleton town,35950,,,,,,,,,,,,,,,,,,,,,,,,,,,"Littleton town, Middlesex County, Massachusetts",8697,"Littleton town, Middlesex County, Massachusetts",34
G250017037000,2006-2010,,,Massachusetts,25,Middlesex County,17,Lowell city,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowell city, Middlesex County, Massachusetts",105089,"Lowell city, Middlesex County, Massachusetts",77
G250017037875,2006-2010,,,Massachusetts,25,Middlesex County,17,Malden city,37875,,,,,,,,,,,,,,,,,,,,,,,,,,,"Malden city, Middlesex County, Massachusetts",58180,"Malden city, Middlesex County, Massachusetts",32
G250017038715,2006-2010,,,Massachusetts,25,Middlesex County,17,Marlborough city,38715,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marlborough city, Middlesex County, Massachusetts",37674,"Marlborough city, Middlesex County, Massachusetts",24
G250017039625,2006-2010,,,Massachusetts,25,Middlesex County,17,Maynard town,39625,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maynard town, Middlesex County, Massachusetts",10036,"Maynard town, Middlesex County, Massachusetts",23
G250017039835,2006-2010,,,Massachusetts,25,Middlesex County,17,Medford city,39835,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medford city, Middlesex County, Massachusetts",55451,"Medford city, Middlesex County, Massachusetts",34
G250017040115,2006-2010,,,Massachusetts,25,Middlesex County,17,Melrose city,40115,,,,,,,,,,,,,,,,,,,,,,,,,,,"Melrose city, Middlesex County, Massachusetts",26704,"Melrose city, Middlesex County, Massachusetts",34
G250017043895,2006-2010,,,Massachusetts,25,Middlesex County,17,Natick town,43895,,,,,,,,,,,,,,,,,,,,,,,,,,,"Natick town, Middlesex County, Massachusetts",32443,"Natick town, Middlesex County, Massachusetts",43
G250017045560,2006-2010,,,Massachusetts,25,Middlesex County,17,Newton city,45560,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newton city, Middlesex County, Massachusetts",83949,"Newton city, Middlesex County, Massachusetts",39
G250017048955,2006-2010,,,Massachusetts,25,Middlesex County,17,North Reading town,48955,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Reading town, Middlesex County, Massachusetts",14536,"North Reading town, Middlesex County, Massachusetts",19
G250017052805,2006-2010,,,Massachusetts,25,Middlesex County,17,Pepperell town,52805,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pepperell town, Middlesex County, Massachusetts",11299,"Pepperell town, Middlesex County, Massachusetts",18
G250017056130,2006-2010,,,Massachusetts,25,Middlesex County,17,Reading town,56130,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reading town, Middlesex County, Massachusetts",24261,"Reading town, Middlesex County, Massachusetts",42
G250017061380,2006-2010,,,Massachusetts,25,Middlesex County,17,Sherborn town,61380,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sherborn town, Middlesex County, Massachusetts",4089,"Sherborn town, Middlesex County, Massachusetts",27
G250017061590,2006-2010,,,Massachusetts,25,Middlesex County,17,Shirley town,61590,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shirley town, Middlesex County, Massachusetts",7226,"Shirley town, Middlesex County, Massachusetts",19
G250017062535,2006-2010,,,Massachusetts,25,Middlesex County,17,Somerville city,62535,,,,,,,,,,,,,,,,,,,,,,,,,,,"Somerville city, Middlesex County, Massachusetts",75215,"Somerville city, Middlesex County, Massachusetts",51
G250017067665,2006-2010,,,Massachusetts,25,Middlesex County,17,Stoneham town,67665,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stoneham town, Middlesex County, Massachusetts",21320,"Stoneham town, Middlesex County, Massachusetts",25
G250017068050,2006-2010,,,Massachusetts,25,Middlesex County,17,Stow town,68050,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stow town, Middlesex County, Massachusetts",6395,"Stow town, Middlesex County, Massachusetts",18
G250017068260,2006-2010,,,Massachusetts,25,Middlesex County,17,Sudbury town,68260,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sudbury town, Middlesex County, Massachusetts",17308,"Sudbury town, Middlesex County, Massachusetts",26
G250017069415,2006-2010,,,Massachusetts,25,Middlesex County,17,Tewksbury town,69415,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tewksbury town, Middlesex County, Massachusetts",28619,"Tewksbury town, Middlesex County, Massachusetts",23
G250017070360,2006-2010,,,Massachusetts,25,Middlesex County,17,Townsend town,70360,,,,,,,,,,,,,,,,,,,,,,,,,,,"Townsend town, Middlesex County, Massachusetts",8871,"Townsend town, Middlesex County, Massachusetts",19
G250017071025,2006-2010,,,Massachusetts,25,Middlesex County,17,Tyngsborough town,71025,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tyngsborough town, Middlesex County, Massachusetts",11124,"Tyngsborough town, Middlesex County, Massachusetts",27
G250017072215,2006-2010,,,Massachusetts,25,Middlesex County,17,Wakefield town,72215,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wakefield town, Middlesex County, Massachusetts",24620,"Wakefield town, Middlesex County, Massachusetts",23
G250017072600,2006-2010,,,Massachusetts,25,Middlesex County,17,Waltham city,72600,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waltham city, Middlesex County, Massachusetts",59771,"Waltham city, Middlesex County, Massachusetts",34
G250017073440,2006-2010,,,Massachusetts,25,Middlesex County,17,Watertown Town city,73440,,,,,,,,,,,,,,,,,,,,,,,,,,,"Watertown Town city, Middlesex County, Massachusetts",31591,"Watertown Town city, Middlesex County, Massachusetts",39
G250017073790,2006-2010,,,Massachusetts,25,Middlesex County,17,Wayland town,73790,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wayland town, Middlesex County, Massachusetts",12864,"Wayland town, Middlesex County, Massachusetts",26
G250017076135,2006-2010,,,Massachusetts,25,Middlesex County,17,Westford town,76135,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westford town, Middlesex County, Massachusetts",21483,"Westford town, Middlesex County, Massachusetts",23
G250017077255,2006-2010,,,Massachusetts,25,Middlesex County,17,Weston town,77255,,,,,,,,,,,,,,,,,,,,,,,,,,,"Weston town, Middlesex County, Massachusetts",11191,"Weston town, Middlesex County, Massachusetts",32
G250017080230,2006-2010,,,Massachusetts,25,Middlesex County,17,Wilmington town,80230,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilmington town, Middlesex County, Massachusetts",21891,"Wilmington town, Middlesex County, Massachusetts",24
G250017080510,2006-2010,,,Massachusetts,25,Middlesex County,17,Winchester town,80510,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winchester town, Middlesex County, Massachusetts",21016,"Winchester town, Middlesex County, Massachusetts",33
G250017081035,2006-2010,,,Massachusetts,25,Middlesex County,17,Woburn city,81035,,,,,,,,,,,,,,,,,,,,,,,,,,,"Woburn city, Middlesex County, Massachusetts",37538,"Woburn city, Middlesex County, Massachusetts",59
