GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELM,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RLAE001,RLAE002,RLAE003,RLAE004,RLAE005,RLAE006,RLAE007,RLAE008,RLAE009,RLAE010,NAME_M,RLAM001,RLAM002,RLAM003,RLAM004,RLAM005,RLAM006,RLAM007,RLAM008,RLAM009,RLAM010
G25004710,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Erving School District,4710,,,,"Erving School District, Massachusetts",1863,1786,0,0,12,0,21,44,0,44,"Erving School District, Massachusetts",184,182,127,127,20,127,22,24,127,24
G25004920,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Florida School District,4920,,,,"Florida School District, Massachusetts",966,903,57,0,0,0,0,6,0,6,"Florida School District, Massachusetts",173,153,58,127,127,127,127,8,127,8
G25005040,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Freetown School District,5040,,,,"Freetown School District, Massachusetts",9013,8666,166,24,0,0,130,27,27,0,"Freetown School District, Massachusetts",18,209,172,33,127,127,104,42,42,127
G25005430,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Granville School District,5430,,,,"Granville School District, Massachusetts",1659,1613,0,7,8,0,8,23,0,23,"Granville School District, Massachusetts",157,151,127,10,8,127,10,24,127,24
G25005610,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Halifax School District,5610,,,,"Halifax School District, Massachusetts",7735,7287,57,164,0,0,34,193,26,167,"Halifax School District, Massachusetts",23,251,86,171,127,127,32,129,31,124
G25005760,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Hancock School District,5760,,,,"Hancock School District, Massachusetts",738,738,0,0,0,0,0,0,0,0,"Hancock School District, Massachusetts",132,132,127,127,127,127,127,127,127,127
G25006000,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Hawlemont School District,6000,,,,"Hawlemont School District, Massachusetts",1518,1443,24,16,18,0,9,8,0,8,"Hawlemont School District, Massachusetts",142,146,21,18,25,127,11,9,127,9
G25006210,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Holland School District,6210,,,,"Holland School District, Massachusetts",2563,2457,0,18,37,0,0,51,0,51,"Holland School District, Massachusetts",21,64,127,20,43,127,127,42,127,42
G25006540,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Kingston School District,6540,,,,"Kingston School District, Massachusetts",12360,11927,0,0,273,17,47,96,43,53,"Kingston School District, Massachusetts",35,278,127,127,244,27,73,81,68,43
G25006570,2005-2009,,,Massachusetts,25,,,,,,,,,,,,,,,,,,,,,,,Lakeville School District,6570,,,,"Lakeville School District, Massachusetts",10460,9887,264,0,131,0,59,119,0,119,"Lakeville School District, Massachusetts",29,376,303,127,179,127,97,97,127,97
