GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JOHE001,JOHE002,JOHE003,JOHE004,JOHE005,JOHE006,JOHE007,JOHE008,JOHE009,JOHE010,JOHE011,JOHE012,JOHE013,JOHE014,JOHE015,JOHE016,JOHE017,NAME_M,JOHM001,JOHM002,JOHM003,JOHM004,JOHM005,JOHM006,JOHM007,JOHM008,JOHM009,JOHM010,JOHM011,JOHM012,JOHM013,JOHM014,JOHM015,JOHM016,JOHM017
G250001074385,2006-2010,,,Massachusetts,25,Barnstable County,1,Wellfleet Town,74385,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wellfleet Town, Barnstable County, Massachusetts",1651,32,142,25,87,14,75,27,64,76,206,205,230,120,45,187,116,"Wellfleet Town, Barnstable County, Massachusetts",162,35,118,28,77,21,58,32,51,84,151,128,115,66,49,106,81
G250001082525,2006-2010,,,Massachusetts,25,Barnstable County,1,Yarmouth Town,82525,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yarmouth Town, Barnstable County, Massachusetts",11845,796,564,460,451,862,874,556,984,466,1085,1602,1215,852,407,299,372,"Yarmouth Town, Barnstable County, Massachusetts",416,220,184,133,155,226,208,183,269,123,212,297,204,238,172,109,132
G250003000555,2006-2010,,,Massachusetts,25,Berkshire County,3,Adams Town,555,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adams Town, Berkshire County, Massachusetts",3731,336,322,309,133,201,290,408,220,133,203,342,415,253,31,115,20,"Adams Town, Berkshire County, Massachusetts",188,103,100,94,65,95,89,121,75,65,69,85,114,92,26,60,23
G250003000975,2006-2010,,,Massachusetts,25,Berkshire County,3,Alford Town,975,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alford Town, Berkshire County, Massachusetts",220,16,2,4,9,16,4,12,7,7,18,9,26,25,21,34,10,"Alford Town, Berkshire County, Massachusetts",32,8,4,4,11,16,5,8,5,6,10,7,11,10,10,14,7
G250003004545,2006-2010,,,Massachusetts,25,Berkshire County,3,Becket Town,4545,,,,,,,,,,,,,,,,,,,,,,,,,,,"Becket Town, Berkshire County, Massachusetts",735,64,44,50,81,17,46,33,71,22,17,68,61,55,40,38,28,"Becket Town, Berkshire County, Massachusetts",90,40,30,39,45,11,40,28,40,19,16,29,29,31,22,24,18
G250003013345,2006-2010,,,Massachusetts,25,Berkshire County,3,Cheshire Town,13345,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cheshire Town, Berkshire County, Massachusetts",1406,80,72,49,110,25,111,27,55,44,170,228,175,49,106,58,47,"Cheshire Town, Berkshire County, Massachusetts",94,69,45,48,61,22,72,24,39,47,86,88,61,32,52,37,33
G250003014010,2006-2010,,,Massachusetts,25,Berkshire County,3,Clarksburg Town,14010,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarksburg Town, Berkshire County, Massachusetts",760,31,32,28,40,27,42,43,74,40,107,68,126,84,10,6,2,"Clarksburg Town, Berkshire County, Massachusetts",42,19,19,15,19,15,27,17,51,17,36,25,41,24,12,7,4
G250003016180,2006-2010,,,Massachusetts,25,Berkshire County,3,Dalton Town,16180,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dalton Town, Berkshire County, Massachusetts",2564,101,95,120,150,180,131,126,116,67,293,433,296,188,36,93,139,"Dalton Town, Berkshire County, Massachusetts",137,58,84,63,83,95,58,95,74,48,110,146,90,74,27,61,65
G250003021360,2006-2010,,,Massachusetts,25,Berkshire County,3,Egremont Town,21360,,,,,,,,,,,,,,,,,,,,,,,,,,,"Egremont Town, Berkshire County, Massachusetts",553,27,18,34,11,51,34,33,30,14,69,51,59,79,12,3,28,"Egremont Town, Berkshire County, Massachusetts",55,20,21,19,9,34,22,21,21,16,30,22,19,31,9,5,13
G250003024120,2006-2010,,,Massachusetts,25,Berkshire County,3,Florida Town,24120,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florida Town, Berkshire County, Massachusetts",320,23,15,3,14,23,20,28,22,8,32,50,60,8,14,0,0,"Florida Town, Berkshire County, Massachusetts",43,16,10,5,16,12,23,17,17,7,19,28,30,8,8,127,127
G250003026815,2006-2010,,,Massachusetts,25,Berkshire County,3,Great Barrington Town,26815,,,,,,,,,,,,,,,,,,,,,,,,,,,"Great Barrington Town, Berkshire County, Massachusetts",3152,161,194,234,208,215,184,105,155,95,223,391,409,191,65,186,136,"Great Barrington Town, Berkshire County, Massachusetts",229,88,113,105,125,151,124,65,79,72,117,160,126,83,50,99,78
G250003028180,2006-2010,,,Massachusetts,25,Berkshire County,3,Hancock Town,28180,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hancock Town, Berkshire County, Massachusetts",255,4,0,20,13,5,3,9,8,3,26,40,56,41,6,15,6,"Hancock Town, Berkshire County, Massachusetts",45,6,127,14,15,6,4,13,8,5,13,29,24,23,10,11,7
G250003030315,2006-2010,,,Massachusetts,25,Berkshire County,3,Hinsdale Town,30315,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hinsdale Town, Berkshire County, Massachusetts",901,25,16,35,30,71,82,30,38,33,81,173,109,79,47,26,26,"Hinsdale Town, Berkshire County, Massachusetts",61,24,17,22,18,43,39,20,40,22,45,55,39,32,31,21,21
G250003034340,2006-2010,,,Massachusetts,25,Berkshire County,3,Lanesborough Town,34340,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lanesborough Town, Berkshire County, Massachusetts",1250,12,86,68,16,43,83,36,38,38,82,193,270,67,85,41,92,"Lanesborough Town, Berkshire County, Massachusetts",115,18,63,48,17,44,70,32,49,28,44,89,88,41,59,32,66
G250003034655,2006-2010,,,Massachusetts,25,Berkshire County,3,Lee Town,34655,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee Town, Berkshire County, Massachusetts",2577,63,131,258,153,129,32,155,276,51,272,138,480,183,126,109,21,"Lee Town, Berkshire County, Massachusetts",237,57,81,143,82,81,40,81,124,47,124,74,175,86,105,69,23
G250003034970,2006-2010,,,Massachusetts,25,Berkshire County,3,Lenox Town,34970,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lenox Town, Berkshire County, Massachusetts",2153,93,91,138,152,91,69,58,80,46,237,234,318,216,149,87,94,"Lenox Town, Berkshire County, Massachusetts",195,60,56,76,84,79,53,47,44,39,96,82,108,110,81,59,57
G250003042460,2006-2010,,,Massachusetts,25,Berkshire County,3,Monterey Town,42460,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monterey Town, Berkshire County, Massachusetts",301,15,8,19,6,16,41,39,17,11,3,23,45,27,5,7,19,"Monterey Town, Berkshire County, Massachusetts",58,17,8,14,9,13,25,28,13,9,4,17,21,14,7,7,20
G250003043300,2006-2010,,,Massachusetts,25,Berkshire County,3,Mount Washington Town,43300,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mount Washington Town, Berkshire County, Massachusetts",58,0,2,0,3,2,3,4,6,2,6,9,7,5,4,0,5,"Mount Washington Town, Berkshire County, Massachusetts",17,127,3,127,4,4,4,5,6,3,7,7,5,5,6,127,5
G250003044385,2006-2010,,,Massachusetts,25,Berkshire County,3,New Ashford Town,44385,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Ashford Town, Berkshire County, Massachusetts",109,5,11,0,5,2,0,5,0,6,14,21,17,7,4,4,8,"New Ashford Town, Berkshire County, Massachusetts",31,9,14,127,5,4,127,6,127,5,11,14,14,6,4,5,6
G250003045420,2006-2010,,,Massachusetts,25,Berkshire County,3,New Marlborough Town,45420,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Marlborough Town, Berkshire County, Massachusetts",625,16,83,17,8,13,18,40,29,17,79,104,82,47,10,44,18,"New Marlborough Town, Berkshire County, Massachusetts",67,12,40,18,10,12,13,28,15,14,34,37,36,26,10,25,13
G250003046225,2006-2010,,,Massachusetts,25,Berkshire County,3,North Adams City,46225,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Adams City, Berkshire County, Massachusetts",5619,663,524,458,475,381,279,235,316,250,373,607,509,351,136,40,22,"North Adams City, Berkshire County, Massachusetts",312,142,151,140,128,115,104,101,101,99,127,123,156,128,71,26,23
G250003051580,2006-2010,,,Massachusetts,25,Berkshire County,3,Otis Town,51580,,,,,,,,,,,,,,,,,,,,,,,,,,,"Otis Town, Berkshire County, Massachusetts",567,32,31,16,12,28,10,29,22,26,75,67,81,37,18,11,72,"Otis Town, Berkshire County, Massachusetts",75,21,23,14,10,22,8,21,19,16,42,26,39,25,19,9,38
G250003053050,2006-2010,,,Massachusetts,25,Berkshire County,3,Peru Town,53050,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peru Town, Berkshire County, Massachusetts",313,14,10,16,6,16,20,20,17,11,10,52,53,40,18,10,0,"Peru Town, Berkshire County, Massachusetts",43,11,10,11,8,15,20,12,12,12,8,19,25,18,9,12,127
G250003053960,2006-2010,,,Massachusetts,25,Berkshire County,3,Pittsfield City,53960,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pittsfield City, Berkshire County, Massachusetts",19685,2123,1659,995,1205,900,1338,872,1036,960,1612,2128,2135,1192,664,428,438,"Pittsfield City, Berkshire County, Massachusetts",449,277,266,216,239,203,212,178,256,207,259,318,230,207,195,110,145
G250003056795,2006-2010,,,Massachusetts,25,Berkshire County,3,Richmond Town,56795,,,,,,,,,,,,,,,,,,,,,,,,,,,"Richmond Town, Berkshire County, Massachusetts",727,19,16,29,18,27,23,33,19,19,42,71,139,81,25,84,82,"Richmond Town, Berkshire County, Massachusetts",48,12,11,17,12,14,15,19,12,12,19,27,36,30,15,31,32
G250003059665,2006-2010,,,Massachusetts,25,Berkshire County,3,Sandisfield Town,59665,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sandisfield Town, Berkshire County, Massachusetts",335,12,11,11,23,9,21,11,16,9,31,69,48,25,7,6,26,"Sandisfield Town, Berkshire County, Massachusetts",43,9,11,9,13,9,12,7,11,10,20,30,20,16,8,6,22
G250003060225,2006-2010,,,Massachusetts,25,Berkshire County,3,Savoy Town,60225,,,,,,,,,,,,,,,,,,,,,,,,,,,"Savoy Town, Berkshire County, Massachusetts",312,11,7,7,29,29,13,20,11,18,19,44,61,8,15,13,7,"Savoy Town, Berkshire County, Massachusetts",42,7,8,7,19,22,12,17,9,11,12,21,36,7,11,20,7
G250003061065,2006-2010,,,Massachusetts,25,Berkshire County,3,Sheffield Town,61065,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sheffield Town, Berkshire County, Massachusetts",1525,116,39,135,61,107,137,47,51,104,114,86,241,102,18,125,42,"Sheffield Town, Berkshire County, Massachusetts",113,76,45,95,50,74,91,37,41,73,62,58,84,57,21,64,38
G250003067595,2006-2010,,,Massachusetts,25,Berkshire County,3,Stockbridge Town,67595,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stockbridge Town, Berkshire County, Massachusetts",724,55,26,31,23,18,66,6,84,3,87,88,109,56,25,20,27,"Stockbridge Town, Berkshire County, Massachusetts",106,33,25,25,29,22,54,9,56,7,57,59,56,40,20,24,17
G250003071095,2006-2010,,,Massachusetts,25,Berkshire County,3,Tyringham Town,71095,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tyringham Town, Berkshire County, Massachusetts",166,2,2,4,2,2,20,2,9,2,12,13,21,21,22,4,28,"Tyringham Town, Berkshire County, Massachusetts",28,3,3,4,3,3,16,3,10,3,9,11,10,13,13,4,15
G250003073335,2006-2010,,,Massachusetts,25,Berkshire County,3,Washington Town,73335,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington Town, Berkshire County, Massachusetts",247,8,4,9,13,6,5,4,4,24,23,38,56,26,21,0,6,"Washington Town, Berkshire County, Massachusetts",37,13,5,7,8,7,5,7,6,14,18,20,24,14,11,127,8
G250003077990,2006-2010,,,Massachusetts,25,Berkshire County,3,West Stockbridge Town,77990,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Stockbridge Town, Berkshire County, Massachusetts",638,19,55,19,14,11,16,37,28,28,53,77,95,73,51,41,21,"West Stockbridge Town, Berkshire County, Massachusetts",54,13,31,17,8,10,10,25,20,24,28,30,30,29,29,19,11
G250003079985,2006-2010,,,Massachusetts,25,Berkshire County,3,WilliamsTown Town,79985,,,,,,,,,,,,,,,,,,,,,,,,,,,"WilliamsTown Town, Berkshire County, Massachusetts",2742,139,251,117,116,120,116,64,127,49,200,277,262,276,171,244,213,"WilliamsTown Town, Berkshire County, Massachusetts",269,99,101,65,60,62,56,58,71,39,77,100,77,92,68,83,83
G250003080685,2006-2010,,,Massachusetts,25,Berkshire County,3,Windsor Town,80685,,,,,,,,,,,,,,,,,,,,,,,,,,,"Windsor Town, Berkshire County, Massachusetts",353,6,0,8,18,6,15,16,13,4,34,57,65,58,7,36,10,"Windsor Town, Berkshire County, Massachusetts",44,9,127,7,14,6,13,18,10,6,21,28,28,28,6,20,11
G250005000000,2006-2010,,,Massachusetts,25,Bristol County,5,County subdivisions not defined,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"County subdivisions not defined, Bristol County, Massachusetts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"County subdivisions not defined, Bristol County, Massachusetts",127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
G250005000520,2006-2010,,,Massachusetts,25,Bristol County,5,Acushnet Town,520,,,,,,,,,,,,,,,,,,,,,,,,,,,"Acushnet Town, Bristol County, Massachusetts",3795,181,153,77,234,219,234,81,158,71,346,384,579,524,216,258,80,"Acushnet Town, Bristol County, Massachusetts",146,100,62,52,100,113,129,77,78,43,115,123,148,119,88,105,48
G250005002690,2006-2010,,,Massachusetts,25,Bristol County,5,Attleboro City,2690,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attleboro City, Bristol County, Massachusetts",16330,607,751,574,584,536,739,681,658,833,1553,1835,2434,1901,1075,1084,485,"Attleboro City, Bristol County, Massachusetts",437,136,209,173,138,144,159,176,196,192,280,287,308,277,220,210,142
G250005005280,2006-2010,,,Massachusetts,25,Bristol County,5,Berkley Town,5280,,,,,,,,,,,,,,,,,,,,,,,,,,,"Berkley Town, Bristol County, Massachusetts",1985,7,99,32,87,106,72,37,31,59,146,196,348,303,229,129,104,"Berkley Town, Bristol County, Massachusetts",85,11,62,28,48,51,67,30,36,39,83,56,99,84,94,57,63
G250005016425,2006-2010,,,Massachusetts,25,Bristol County,5,Dartmouth Town,16425,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dartmouth Town, Bristol County, Massachusetts",11860,586,671,447,458,444,306,502,346,390,891,1460,1751,1336,764,944,564,"Dartmouth Town, Bristol County, Massachusetts",776,178,166,142,135,149,115,133,123,103,211,286,251,229,173,178,144
G250005016950,2006-2010,,,Massachusetts,25,Bristol County,5,Dighton Town,16950,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dighton Town, Bristol County, Massachusetts",2408,78,71,121,104,101,81,60,87,74,100,175,476,398,142,231,109,"Dighton Town, Bristol County, Massachusetts",131,71,53,83,88,80,77,58,48,54,75,79,145,151,65,85,71
G250005020100,2006-2010,,,Massachusetts,25,Bristol County,5,Easton Town,20100,,,,,,,,,,,,,,,,,,,,,,,,,,,"Easton Town, Bristol County, Massachusetts",7768,347,199,264,180,121,278,208,265,208,464,811,999,946,720,951,807,"Easton Town, Bristol County, Massachusetts",229,119,89,104,68,64,117,112,91,86,138,189,184,189,160,167,156
G250005022130,2006-2010,,,Massachusetts,25,Bristol County,5,Fairhaven Town,22130,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairhaven Town, Bristol County, Massachusetts",6660,418,385,494,233,372,263,288,424,303,420,660,1115,600,368,172,145,"Fairhaven Town, Bristol County, Massachusetts",269,125,121,141,84,101,104,107,122,112,129,185,181,156,117,72,81
G250005023000,2006-2010,,,Massachusetts,25,Bristol County,5,Fall River City,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fall River City, Bristol County, Massachusetts",38140,4812,4147,3023,2895,2177,2337,2210,1634,1427,3123,3254,3298,1950,900,632,321,"Fall River City, Bristol County, Massachusetts",666,496,485,347,352,332,373,323,331,251,409,355,317,339,123,165,96
G250005025240,2006-2010,,,Massachusetts,25,Bristol County,5,FreeTown Town,25240,,,,,,,,,,,,,,,,,,,,,,,,,,,"FreeTown Town, Bristol County, Massachusetts",3106,92,48,66,149,89,111,72,98,137,211,291,599,551,265,183,144,"FreeTown Town, Bristol County, Massachusetts",144,66,42,42,70,49,68,40,59,87,81,101,145,143,98,79,62
G250005038225,2006-2010,,,Massachusetts,25,Bristol County,5,Mansfield Town,38225,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mansfield Town, Bristol County, Massachusetts",8283,111,421,235,221,195,224,190,315,417,549,509,999,1231,917,848,901,"Mansfield Town, Bristol County, Massachusetts",227,77,152,112,112,104,106,78,124,147,154,166,218,238,188,169,155
G250005045000,2006-2010,,,Massachusetts,25,Bristol County,5,New Bedford City,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Bedford City, Bristol County, Massachusetts",38729,5065,4016,3370,2798,1662,1998,1715,1641,1966,3030,3698,3999,1756,904,795,316,"New Bedford City, Bristol County, Massachusetts",645,502,335,356,352,234,277,240,278,291,394,400,363,225,200,204,104
G250005046575,2006-2010,,,Massachusetts,25,Bristol County,5,North Attleborough Town,46575,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Attleborough Town, Bristol County, Massachusetts",10666,290,397,274,330,419,425,398,378,457,859,1009,1753,1438,857,833,549,"North Attleborough Town, Bristol County, Massachusetts",327,100,144,130,157,140,159,166,108,185,215,234,256,220,207,157,146
G250005049970,2006-2010,,,Massachusetts,25,Bristol County,5,Norton Town,49970,,,,,,,,,,,,,,,,,,,,,,,,,,,"Norton Town, Bristol County, Massachusetts",6308,226,154,288,270,133,194,174,198,221,489,675,906,788,625,652,315,"Norton Town, Bristol County, Massachusetts",343,116,85,127,124,88,90,101,90,94,140,169,198,200,175,154,116
G250005056060,2006-2010,,,Massachusetts,25,Bristol County,5,Raynham Town,56060,,,,,,,,,,,,,,,,,,,,,,,,,,,"Raynham Town, Bristol County, Massachusetts",4854,85,82,114,202,169,178,81,436,132,459,451,830,667,281,460,227,"Raynham Town, Bristol County, Massachusetts",191,63,50,49,86,94,96,63,185,93,159,150,184,198,81,124,79
G250005056375,2006-2010,,,Massachusetts,25,Bristol County,5,Rehoboth Town,56375,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rehoboth Town, Bristol County, Massachusetts",3988,88,118,74,111,50,193,96,115,102,322,404,575,487,498,434,321,"Rehoboth Town, Bristol County, Massachusetts",182,41,88,50,66,36,89,62,63,72,84,112,164,141,137,117,102
G250005060645,2006-2010,,,Massachusetts,25,Bristol County,5,Seekonk Town,60645,,,,,,,,,,,,,,,,,,,,,,,,,,,"Seekonk Town, Bristol County, Massachusetts",4764,170,102,272,149,195,233,150,237,77,388,350,694,690,442,281,334,"Seekonk Town, Bristol County, Massachusetts",171,72,66,99,68,98,122,75,126,53,135,123,165,151,118,101,102
G250005062430,2006-2010,,,Massachusetts,25,Bristol County,5,Somerset Town,62430,,,,,,,,,,,,,,,,,,,,,,,,,,,"Somerset Town, Bristol County, Massachusetts",7024,229,279,380,323,280,231,324,286,298,555,756,1314,871,402,366,130,"Somerset Town, Bristol County, Massachusetts",290,101,110,136,103,118,87,116,117,117,138,188,180,155,113,124,77
G250005068750,2006-2010,,,Massachusetts,25,Bristol County,5,Swansea Town,68750,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swansea Town, Bristol County, Massachusetts",6160,140,269,243,224,258,232,258,165,281,628,712,1012,759,551,156,272,"Swansea Town, Bristol County, Massachusetts",226,64,114,104,75,107,89,116,81,104,153,176,203,161,138,98,113
G250005069170,2006-2010,,,Massachusetts,25,Bristol County,5,Taunton City,69170,,,,,,,,,,,,,,,,,,,,,,,,,,,"Taunton City, Bristol County, Massachusetts",22024,1362,1295,1301,1095,923,1070,890,1067,1232,1841,2427,2894,2255,1066,999,307,"Taunton City, Bristol County, Massachusetts",470,260,266,265,243,222,259,193,283,234,319,342,280,330,204,224,101
G250005077570,2006-2010,,,Massachusetts,25,Bristol County,5,Westport Town,77570,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westport Town, Bristol County, Massachusetts",5937,287,300,164,199,214,212,300,335,107,447,577,1163,641,361,308,322,"Westport Town, Bristol County, Massachusetts",238,142,137,89,106,82,112,139,101,56,132,154,234,148,118,97,98
G250007001585,2006-2010,,,Massachusetts,25,Dukes County,7,Aquinnah Town,1585,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aquinnah Town, Dukes County, Massachusetts",128,10,9,7,3,6,0,8,11,6,4,9,12,8,10,10,15,"Aquinnah Town, Dukes County, Massachusetts",33,12,8,8,5,6,127,9,13,8,6,9,12,9,12,9,17
G250007013800,2006-2010,,,Massachusetts,25,Dukes County,7,Chilmark Town,13800,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilmark Town, Dukes County, Massachusetts",375,35,0,5,12,30,17,26,9,3,21,32,52,20,39,20,54,"Chilmark Town, Dukes County, Massachusetts",75,18,127,7,10,27,15,26,10,5,17,25,28,13,26,14,26
