GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JOHE001,JOHE002,JOHE003,JOHE004,JOHE005,JOHE006,JOHE007,JOHE008,JOHE009,JOHE010,JOHE011,JOHE012,JOHE013,JOHE014,JOHE015,JOHE016,JOHE017,NAME_M,JOHM001,JOHM002,JOHM003,JOHM004,JOHM005,JOHM006,JOHM007,JOHM008,JOHM009,JOHM010,JOHM011,JOHM012,JOHM013,JOHM014,JOHM015,JOHM016,JOHM017
G250007021150,2006-2010,,,Massachusetts,25,Dukes County,7,EdgarTown Town,21150,,,,,,,,,,,,,,,,,,,,,,,,,,,"EdgarTown Town, Dukes County, Massachusetts",1423,88,12,0,115,40,33,54,171,37,96,87,340,65,72,50,163,"EdgarTown Town, Dukes County, Massachusetts",197,70,20,127,78,32,53,46,112,36,46,56,131,42,67,40,100
G250007026325,2006-2010,,,Massachusetts,25,Dukes County,7,Gosnold Town,26325,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gosnold Town, Dukes County, Massachusetts",84,0,3,11,13,3,2,9,0,2,12,6,11,3,0,6,3,"Gosnold Town, Dukes County, Massachusetts",29,127,5,10,12,4,5,13,127,4,12,8,9,4,127,7,4
G250007050390,2006-2010,,,Massachusetts,25,Dukes County,7,Oak Bluffs Town,50390,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oak Bluffs Town, Dukes County, Massachusetts",1403,56,87,94,58,44,105,45,78,68,80,89,277,104,67,64,87,"Oak Bluffs Town, Dukes County, Massachusetts",155,53,56,79,49,50,95,37,64,49,69,68,114,57,60,59,66
G250007069940,2006-2010,,,Massachusetts,25,Dukes County,7,Tisbury Town,69940,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tisbury Town, Dukes County, Massachusetts",1261,95,62,62,30,75,66,26,18,54,168,96,137,201,79,65,27,"Tisbury Town, Dukes County, Massachusetts",229,69,53,54,39,45,51,43,20,54,94,69,74,93,57,46,26
G250007078235,2006-2010,,,Massachusetts,25,Dukes County,7,West Tisbury Town,78235,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Tisbury Town, Dukes County, Massachusetts",856,41,7,33,58,13,9,19,18,66,77,145,123,67,49,70,61,"West Tisbury Town, Dukes County, Massachusetts",124,39,9,35,39,14,12,21,19,49,59,60,60,34,28,47,32
G250009000000,2006-2010,,,Massachusetts,25,Essex County,9,County subdivisions not defined,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"County subdivisions not defined, Essex County, Massachusetts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"County subdivisions not defined, Essex County, Massachusetts",127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
G250009001260,2006-2010,,,Massachusetts,25,Essex County,9,Amesbury Town City,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amesbury Town City, Essex County, Massachusetts",6517,241,304,260,218,183,274,179,227,229,425,720,1063,858,565,417,354,"Amesbury Town City, Essex County, Massachusetts",176,105,125,109,83,92,106,79,109,98,122,187,177,180,134,116,100
G250009001465,2006-2010,,,Massachusetts,25,Essex County,9,Andover Town,1465,,,,,,,,,,,,,,,,,,,,,,,,,,,"Andover Town, Essex County, Massachusetts",11969,406,344,329,321,250,250,182,363,195,564,992,1205,1318,1137,1667,2446,"Andover Town, Essex County, Massachusetts",314,137,117,96,134,105,110,72,100,86,142,196,180,237,197,266,237
G250009005595,2006-2010,,,Massachusetts,25,Essex County,9,Beverly City,5595,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beverly City, Essex County, Massachusetts",15469,1061,827,473,575,497,648,317,548,668,1373,1519,1840,1531,1218,1329,1045,"Beverly City, Essex County, Massachusetts",481,233,197,149,146,156,193,125,151,190,260,283,290,270,199,224,208
G250009007420,2006-2010,,,Massachusetts,25,Essex County,9,Boxford Town,7420,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boxford Town, Essex County, Massachusetts",2571,42,45,50,43,20,34,10,22,21,97,127,303,297,220,369,871,"Boxford Town, Essex County, Massachusetts",145,36,53,41,34,23,31,17,24,25,59,76,136,116,88,136,137
G250009016250,2006-2010,,,Massachusetts,25,Essex County,9,Danvers Town,16250,,,,,,,,,,,,,,,,,,,,,,,,,,,"Danvers Town, Essex County, Massachusetts",10279,374,303,418,400,362,358,279,267,322,859,1167,1333,1365,610,991,871,"Danvers Town, Essex County, Massachusetts",314,135,106,171,140,140,128,110,96,126,227,187,237,210,159,185,208
G250009021850,2006-2010,,,Massachusetts,25,Essex County,9,Essex Town,21850,,,,,,,,,,,,,,,,,,,,,,,,,,,"Essex Town, Essex County, Massachusetts",1328,14,32,29,51,32,126,22,48,40,54,181,179,188,132,96,104,"Essex Town, Essex County, Massachusetts",84,23,24,28,37,27,77,22,30,43,36,79,65,72,62,52,50
G250009025625,2006-2010,,,Massachusetts,25,Essex County,9,GeorgeTown Town,25625,,,,,,,,,,,,,,,,,,,,,,,,,,,"GeorgeTown Town, Essex County, Massachusetts",2682,36,58,54,42,139,12,76,102,51,198,207,318,315,380,357,337,"GeorgeTown Town, Essex County, Massachusetts",118,29,39,34,29,62,18,44,62,33,73,75,81,83,108,93,86
G250009026150,2006-2010,,,Massachusetts,25,Essex County,9,Gloucester City,26150,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gloucester City, Essex County, Massachusetts",12253,692,626,642,599,482,727,496,496,441,867,1305,1821,1201,579,554,725,"Gloucester City, Essex County, Massachusetts",329,197,157,183,152,149,221,158,114,131,173,230,241,195,164,146,176
G250009027620,2006-2010,,,Massachusetts,25,Essex County,9,Groveland Town,27620,,,,,,,,,,,,,,,,,,,,,,,,,,,"Groveland Town, Essex County, Massachusetts",2245,48,151,45,50,13,65,27,59,100,115,257,452,328,228,114,193,"Groveland Town, Essex County, Massachusetts",172,45,85,38,41,21,47,30,45,75,69,90,129,122,94,63,97
G250009027900,2006-2010,,,Massachusetts,25,Essex County,9,Hamilton Town,27900,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hamilton Town, Essex County, Massachusetts",2509,94,108,151,76,88,102,86,62,55,36,210,188,439,163,352,299,"Hamilton Town, Essex County, Massachusetts",186,85,69,68,77,73,60,61,44,48,33,87,78,133,69,106,91
G250009029405,2006-2010,,,Massachusetts,25,Essex County,9,Haverhill City,29405,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haverhill City, Essex County, Massachusetts",23844,1376,1273,1139,1084,841,1169,986,944,810,1933,2495,3633,2642,1540,1225,754,"Haverhill City, Essex County, Massachusetts",526,247,243,207,230,180,212,210,155,201,297,352,365,332,238,248,220
G250009032310,2006-2010,,,Massachusetts,25,Essex County,9,Ipswich Town,32310,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ipswich Town, Essex County, Massachusetts",5467,204,145,127,182,181,254,199,158,185,509,450,728,742,374,533,496,"Ipswich Town, Essex County, Massachusetts",230,85,65,48,90,80,130,118,58,92,137,128,141,169,112,153,139
G250009034550,2006-2010,,,Massachusetts,25,Essex County,9,Lawrence City,34550,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence City, Essex County, Massachusetts",26397,4609,2433,2027,1719,1903,1207,951,1234,1239,2016,2506,2053,1387,426,351,336,"Lawrence City, Essex County, Massachusetts",643,521,323,329,335,316,258,215,275,250,318,326,311,307,139,120,132
G250009037490,2006-2010,,,Massachusetts,25,Essex County,9,Lynn City,37490,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lynn City, Essex County, Massachusetts",34096,4488,2535,1746,1836,1670,1976,1803,1611,1712,2676,3097,3852,2447,1343,841,463,"Lynn City, Essex County, Massachusetts",737,439,341,285,368,302,299,281,310,318,383,365,384,324,209,171,164
G250009037560,2006-2010,,,Massachusetts,25,Essex County,9,Lynnfield Town,37560,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lynnfield Town, Essex County, Massachusetts",4138,161,110,105,144,89,148,158,132,128,231,306,600,418,369,366,673,"Lynnfield Town, Essex County, Massachusetts",148,90,73,56,76,58,90,92,70,82,81,101,147,131,146,116,150
G250009037995,2006-2010,,,Massachusetts,25,Essex County,9,Manchester-by-the-Sea Town,37995,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manchester-by-the-Sea Town, Essex County, Massachusetts",2094,135,62,73,57,24,147,64,29,12,158,110,128,325,129,229,412,"Manchester-by-the-Sea Town, Essex County, Massachusetts",118,81,46,60,47,28,86,52,31,20,87,56,62,107,81,109,118
G250009038400,2006-2010,,,Massachusetts,25,Essex County,9,Marblehead Town,38400,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marblehead Town, Essex County, Massachusetts",8076,329,280,170,144,347,130,302,155,223,602,529,857,933,539,956,1580,"Marblehead Town, Essex County, Massachusetts",248,115,121,83,91,128,66,121,82,83,143,146,173,201,138,181,232
G250009040430,2006-2010,,,Massachusetts,25,Essex County,9,Merrimac Town,40430,,,,,,,,,,,,,,,,,,,,,,,,,,,"Merrimac Town, Essex County, Massachusetts",2418,27,86,43,68,70,125,118,71,80,226,283,399,341,127,230,124,"Merrimac Town, Essex County, Massachusetts",139,31,53,35,43,52,65,75,78,51,113,120,134,112,77,106,86
G250009040710,2006-2010,,,Massachusetts,25,Essex County,9,Methuen Town City,40710,,,,,,,,,,,,,,,,,,,,,,,,,,,"Methuen Town City, Essex County, Massachusetts",17321,954,959,717,829,728,815,572,880,682,1300,1690,2111,2187,1074,1258,565,"Methuen Town City, Essex County, Massachusetts",404,220,242,209,188,175,175,157,202,186,196,241,294,250,165,219,140
G250009041095,2006-2010,,,Massachusetts,25,Essex County,9,Middleton Town,41095,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middleton Town, Essex County, Massachusetts",2863,15,99,64,100,187,70,112,126,36,108,278,600,300,136,287,345,"Middleton Town, Essex County, Massachusetts",193,23,86,36,54,106,85,77,86,33,64,100,172,122,66,129,105
G250009043580,2006-2010,,,Massachusetts,25,Essex County,9,Nahant Town,43580,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nahant Town, Essex County, Massachusetts",1507,67,48,44,67,38,50,32,89,31,71,162,160,133,108,212,195,"Nahant Town, Essex County, Massachusetts",134,53,38,36,44,31,37,34,59,31,46,81,65,60,50,77,78
G250009045175,2006-2010,,,Massachusetts,25,Essex County,9,Newbury Town,45175,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newbury Town, Essex County, Massachusetts",2485,133,24,95,28,64,83,104,92,164,96,170,296,205,295,320,316,"Newbury Town, Essex County, Massachusetts",162,85,27,83,32,44,49,61,63,112,53,72,123,83,103,113,108
G250009045245,2006-2010,,,Massachusetts,25,Essex County,9,Newburyport City,45245,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newburyport City, Essex County, Massachusetts",7554,411,323,200,238,290,273,345,236,242,515,665,849,733,595,847,792,"Newburyport City, Essex County, Massachusetts",277,148,127,81,100,104,115,152,106,126,138,163,183,189,149,190,153
G250009046365,2006-2010,,,Massachusetts,25,Essex County,9,North Andover Town,46365,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Andover Town, Essex County, Massachusetts",10013,306,389,327,292,283,349,225,150,330,531,815,1360,1030,816,1149,1661,"North Andover Town, Essex County, Massachusetts",306,119,149,96,112,110,139,78,78,116,166,176,229,211,148,235,207
G250009052490,2006-2010,,,Massachusetts,25,Essex County,9,Peabody City,52490,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peabody City, Essex County, Massachusetts",20292,1137,1076,870,775,805,975,827,730,688,1431,2541,3024,2072,1320,1356,665,"Peabody City, Essex County, Massachusetts",492,233,232,184,186,170,207,151,187,185,254,352,286,264,214,221,160
G250009057880,2006-2010,,,Massachusetts,25,Essex County,9,Rockport Town,57880,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rockport Town, Essex County, Massachusetts",3007,126,162,100,105,112,222,30,49,127,314,201,296,307,348,335,173,"Rockport Town, Essex County, Massachusetts",196,59,109,50,55,77,100,27,40,84,145,76,100,104,121,138,77
G250009058405,2006-2010,,,Massachusetts,25,Essex County,9,Rowley Town,58405,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rowley Town, Essex County, Massachusetts",2162,17,48,154,72,60,54,0,126,44,167,341,218,302,196,140,223,"Rowley Town, Essex County, Massachusetts",144,27,38,112,53,61,50,127,83,39,82,119,105,106,90,67,79
G250009059105,2006-2010,,,Massachusetts,25,Essex County,9,Salem City,59105,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salem City, Essex County, Massachusetts",17534,1192,1250,714,922,817,871,699,591,695,1415,1803,2510,1519,1191,786,559,"Salem City, Essex County, Massachusetts",576,209,207,205,208,225,196,180,183,184,222,254,316,241,219,177,129
G250009059245,2006-2010,,,Massachusetts,25,Essex County,9,Salisbury Town,59245,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salisbury Town, Essex County, Massachusetts",3452,204,207,178,129,101,86,188,138,164,277,445,436,298,276,207,118,"Salisbury Town, Essex County, Massachusetts",153,86,108,83,77,63,48,96,67,84,113,125,141,93,103,76,44
G250009060015,2006-2010,,,Massachusetts,25,Essex County,9,Saugus Town,60015,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saugus Town, Essex County, Massachusetts",9956,527,469,329,382,452,337,354,363,473,551,1091,1579,1012,902,709,426,"Saugus Town, Essex County, Massachusetts",261,160,141,122,127,144,101,127,140,142,139,213,287,214,217,172,132
G250009068645,2006-2010,,,Massachusetts,25,Essex County,9,Swampscott Town,68645,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swampscott Town, Essex County, Massachusetts",5573,340,199,131,131,127,190,75,134,116,371,319,898,752,434,480,876,"Swampscott Town, Essex County, Massachusetts",188,137,104,72,68,84,88,53,76,72,139,116,183,143,145,110,177
G250009070150,2006-2010,,,Massachusetts,25,Essex County,9,Topsfield Town,70150,,,,,,,,,,,,,,,,,,,,,,,,,,,"Topsfield Town, Essex County, Massachusetts",2033,40,49,87,0,70,0,20,68,79,88,163,184,261,231,229,464,"Topsfield Town, Essex County, Massachusetts",123,36,34,56,127,58,127,22,48,47,58,95,81,95,78,97,116
G250009074595,2006-2010,,,Massachusetts,25,Essex County,9,Wenham Town,74595,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wenham Town, Essex County, Massachusetts",1345,81,34,46,15,52,42,51,7,11,45,87,70,107,186,138,373,"Wenham Town, Essex County, Massachusetts",164,47,28,37,17,34,35,48,11,18,31,45,36,58,66,51,88
G250009077150,2006-2010,,,Massachusetts,25,Essex County,9,West Newbury Town,77150,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Newbury Town, Essex County, Massachusetts",1464,16,50,19,27,14,43,60,62,21,113,109,124,127,216,188,275,"West Newbury Town, Essex County, Massachusetts",84,19,59,21,29,22,35,43,45,23,55,50,59,54,83,74,77
G250011002095,2006-2010,,,Massachusetts,25,Franklin County,11,Ashfield Town,2095,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashfield Town, Franklin County, Massachusetts",703,30,15,45,37,9,23,32,40,53,54,93,102,53,33,51,33,"Ashfield Town, Franklin County, Massachusetts",59,17,9,23,17,8,17,21,18,27,18,35,34,25,20,20,18
G250011005560,2006-2010,,,Massachusetts,25,Franklin County,11,Bernardston Town,5560,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bernardston Town, Franklin County, Massachusetts",963,20,61,52,61,74,78,72,18,27,57,158,104,61,72,33,15,"Bernardston Town, Franklin County, Massachusetts",67,17,36,36,38,52,38,53,14,20,30,45,45,41,37,21,15
G250011009595,2006-2010,,,Massachusetts,25,Franklin County,11,Buckland Town,9595,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buckland Town, Franklin County, Massachusetts",879,55,41,50,53,53,35,70,59,27,73,53,141,84,32,31,22,"Buckland Town, Franklin County, Massachusetts",79,37,32,31,36,38,22,44,43,28,38,27,58,31,23,22,25
G250011012505,2006-2010,,,Massachusetts,25,Franklin County,11,Charlemont Town,12505,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charlemont Town, Franklin County, Massachusetts",555,19,47,20,27,21,38,14,30,38,25,93,80,71,22,3,7,"Charlemont Town, Franklin County, Massachusetts",58,21,28,13,25,14,19,10,18,26,15,25,26,23,18,4,6
G250011014885,2006-2010,,,Massachusetts,25,Franklin County,11,Colrain Town,14885,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colrain Town, Franklin County, Massachusetts",718,12,49,22,37,12,60,44,38,37,53,134,101,63,19,9,28,"Colrain Town, Franklin County, Massachusetts",55,9,23,12,18,9,28,21,18,17,18,39,23,23,14,7,15
G250011015200,2006-2010,,,Massachusetts,25,Franklin County,11,Conway Town,15200,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conway Town, Franklin County, Massachusetts",717,38,40,6,16,38,18,22,31,21,28,75,185,107,22,24,46,"Conway Town, Franklin County, Massachusetts",47,22,17,6,12,20,12,14,12,16,13,31,46,36,13,16,23
G250011016670,2006-2010,,,Massachusetts,25,Franklin County,11,Deerfield Town,16670,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deerfield Town, Franklin County, Massachusetts",2140,110,93,54,113,48,94,44,146,122,220,212,319,281,85,118,81,"Deerfield Town, Franklin County, Massachusetts",127,65,82,44,81,42,78,41,82,74,94,94,120,93,54,64,53
G250011021780,2006-2010,,,Massachusetts,25,Franklin County,11,Erving Town,21780,,,,,,,,,,,,,,,,,,,,,,,,,,,"Erving Town, Franklin County, Massachusetts",712,29,28,72,18,49,39,36,37,34,93,78,113,43,32,3,8,"Erving Town, Franklin County, Massachusetts",56,19,13,28,10,24,21,21,18,23,30,24,34,21,16,4,12
G250011025730,2006-2010,,,Massachusetts,25,Franklin County,11,Gill Town,25730,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gill Town, Franklin County, Massachusetts",577,21,27,19,20,34,9,27,29,21,93,68,80,50,48,21,10,"Gill Town, Franklin County, Massachusetts",51,19,14,12,16,19,8,14,15,13,42,25,26,26,27,19,9
G250011027100,2006-2010,,,Massachusetts,25,Franklin County,11,Greenfield Town City,27100,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenfield Town City, Franklin County, Massachusetts",7702,544,603,569,361,333,507,536,370,458,611,999,1038,313,240,139,81,"Greenfield Town City, Franklin County, Massachusetts",310,156,162,165,102,111,142,158,106,138,181,185,159,114,87,58,48
G250011029475,2006-2010,,,Massachusetts,25,Franklin County,11,Hawley Town,29475,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hawley Town, Franklin County, Massachusetts",155,8,3,16,0,6,4,5,7,6,14,19,20,11,17,14,5,"Hawley Town, Franklin County, Massachusetts",27,9,5,13,127,5,5,5,7,6,11,9,8,9,12,11,5
G250011029650,2006-2010,,,Massachusetts,25,Franklin County,11,Heath Town,29650,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heath Town, Franklin County, Massachusetts",187,14,15,6,10,6,13,4,8,0,7,31,36,19,6,5,7,"Heath Town, Franklin County, Massachusetts",44,14,15,6,8,7,13,5,7,127,7,15,22,14,6,7,7
G250011035180,2006-2010,,,Massachusetts,25,Franklin County,11,Leverett Town,35180,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leverett Town, Franklin County, Massachusetts",689,40,15,9,23,10,38,26,36,44,70,60,99,88,37,42,52,"Leverett Town, Franklin County, Massachusetts",55,28,16,7,14,8,15,15,23,31,26,22,28,25,17,15,17
G250011035285,2006-2010,,,Massachusetts,25,Franklin County,11,Leyden Town,35285,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leyden Town, Franklin County, Massachusetts",269,13,10,4,18,10,9,11,12,7,15,27,86,19,7,18,3,"Leyden Town, Franklin County, Massachusetts",44,11,9,6,14,12,7,9,11,9,13,17,32,13,8,16,6
G250011042040,2006-2010,,,Massachusetts,25,Franklin County,11,Monroe Town,42040,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe Town, Franklin County, Massachusetts",60,0,13,6,0,9,6,4,0,0,8,14,0,0,0,0,0,"Monroe Town, Franklin County, Massachusetts",22,127,12,9,127,11,9,6,127,127,8,14,127,127,127,127,127
G250011042285,2006-2010,,,Massachusetts,25,Franklin County,11,Montague Town,42285,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montague Town, Franklin County, Massachusetts",3829,335,385,260,116,178,325,152,360,144,179,356,569,248,107,84,31,"Montague Town, Franklin County, Massachusetts",171,122,117,78,48,76,116,72,127,74,62,104,135,73,58,50,31
G250011045490,2006-2010,,,Massachusetts,25,Franklin County,11,New Salem Town,45490,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Salem Town, Franklin County, Massachusetts",382,10,15,8,10,9,9,19,26,27,48,40,78,33,30,17,3,"New Salem Town, Franklin County, Massachusetts",41,8,14,8,10,7,8,14,17,19,23,17,32,15,20,11,5
G250011047835,2006-2010,,,Massachusetts,25,Franklin County,11,Northfield Town,47835,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northfield Town, Franklin County, Massachusetts",1230,9,28,86,32,59,36,79,51,17,118,157,241,118,141,21,37,"Northfield Town, Franklin County, Massachusetts",89,14,32,52,29,41,33,64,38,24,81,70,70,48,59,22,31
G250011051265,2006-2010,,,Massachusetts,25,Franklin County,11,Orange Town,51265,,,,,,,,,,,,,,,,,,,,,,,,,,,"Orange Town, Franklin County, Massachusetts",3342,209,285,416,128,164,204,206,144,119,357,456,303,143,157,39,12,"Orange Town, Franklin County, Massachusetts",191,100,113,174,68,87,98,104,73,65,132,133,92,61,94,36,17
G250011058335,2006-2010,,,Massachusetts,25,Franklin County,11,Rowe Town,58335,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rowe Town, Franklin County, Massachusetts",182,2,11,8,5,28,17,12,6,6,18,28,14,11,13,3,0,"Rowe Town, Franklin County, Massachusetts",24,3,6,6,5,14,8,8,6,5,10,11,7,6,8,4,127
G250011061135,2006-2010,,,Massachusetts,25,Franklin County,11,Shelburne Town,61135,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelburne Town, Franklin County, Massachusetts",829,36,44,34,46,48,18,33,62,13,73,79,138,86,66,42,11,"Shelburne Town, Franklin County, Massachusetts",87,25,34,24,40,25,15,26,42,14,37,42,53,32,34,23,13
G250011061905,2006-2010,,,Massachusetts,25,Franklin County,11,Shutesbury Town,61905,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shutesbury Town, Franklin County, Massachusetts",740,29,22,11,20,33,28,22,7,56,79,92,98,89,64,42,48,"Shutesbury Town, Franklin County, Massachusetts",60,18,12,9,11,18,17,13,7,36,31,31,28,29,21,17,25
G250011068400,2006-2010,,,Massachusetts,25,Franklin County,11,Sunderland Town,68400,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunderland Town, Franklin County, Massachusetts",1545,112,97,65,41,133,70,24,132,49,117,209,145,149,78,31,93,"Sunderland Town, Franklin County, Massachusetts",121,76,66,46,39,75,50,26,81,40,57,79,66,67,44,28,68
G250011073265,2006-2010,,,Massachusetts,25,Franklin County,11,Warwick Town,73265,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warwick Town, Franklin County, Massachusetts",247,9,6,5,7,6,30,3,17,22,16,42,41,23,10,7,3,"Warwick Town, Franklin County, Massachusetts",48,8,7,7,7,6,19,6,15,19,16,27,21,12,9,7,5
G250011074525,2006-2010,,,Massachusetts,25,Franklin County,11,Wendell Town,74525,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wendell Town, Franklin County, Massachusetts",430,9,36,28,25,32,7,11,17,18,34,54,40,58,45,10,6,"Wendell Town, Franklin County, Massachusetts",69,7,49,17,20,22,7,8,17,11,15,21,21,26,40,10,6
G250011079110,2006-2010,,,Massachusetts,25,Franklin County,11,Whately Town,79110,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whately Town, Franklin County, Massachusetts",665,0,33,25,11,21,30,26,25,41,57,69,155,81,31,49,11,"Whately Town, Franklin County, Massachusetts",81,127,23,16,10,18,16,18,15,29,33,31,53,39,25,32,10
G250013000840,2006-2010,,,Massachusetts,25,Hampden County,13,Agawam Town City,840,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agawam Town City, Hampden County, Massachusetts",11543,673,640,391,444,463,433,378,637,469,1018,1364,1976,1286,640,493,238,"Agawam Town City, Hampden County, Massachusetts",324,189,192,128,134,137,129,140,193,150,221,241,251,189,168,153,101
G250013006085,2006-2010,,,Massachusetts,25,Hampden County,13,Blandford Town,6085,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blandford Town, Hampden County, Massachusetts",457,8,12,19,11,11,6,27,15,11,56,60,103,66,19,24,9,"Blandford Town, Hampden County, Massachusetts",40,7,9,11,9,7,7,13,11,9,24,23,33,26,11,15,7
G250013008470,2006-2010,,,Massachusetts,25,Hampden County,13,Brimfield Town,8470,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brimfield Town, Hampden County, Massachusetts",1323,11,28,50,60,7,130,63,113,23,55,114,228,234,68,116,23,"Brimfield Town, Hampden County, Massachusetts",96,18,31,43,66,13,72,55,76,28,54,85,101,100,59,67,39
G250013013485,2006-2010,,,Massachusetts,25,Hampden County,13,Chester Town,13485,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chester Town, Hampden County, Massachusetts",538,24,30,25,29,30,7,16,35,41,47,46,111,67,13,7,10,"Chester Town, Hampden County, Massachusetts",49,18,17,16,19,17,7,11,14,19,22,21,31,29,9,7,8
G250013013660,2006-2010,,,Massachusetts,25,Hampden County,13,Chicopee City,13660,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicopee City, Hampden County, Massachusetts",22863,1994,1775,1832,1334,1130,1130,1334,1090,1146,1904,2441,2860,1766,600,361,166,"Chicopee City, Hampden County, Massachusetts",582,349,268,327,248,271,248,240,210,198,311,302,307,261,139,110,70
G250013019645,2006-2010,,,Massachusetts,25,Hampden County,13,East Longmeadow Town,19645,,,,,,,,,,,,,,,,,,,,,,,,,,,"East Longmeadow Town, Hampden County, Massachusetts",5677,184,114,241,257,120,289,133,142,377,401,474,858,680,489,584,334,"East Longmeadow Town, Hampden County, Massachusetts",230,69,58,73,103,56,119,72,53,153,124,110,187,156,124,148,117
G250013026675,2006-2010,,,Massachusetts,25,Hampden County,13,Granville Town,26675,,,,,,,,,,,,,,,,,,,,,,,,,,,"Granville Town, Hampden County, Massachusetts",578,9,37,22,11,9,25,15,15,25,64,79,121,57,45,23,21,"Granville Town, Hampden County, Massachusetts",50,7,20,18,9,9,16,14,10,12,25,28,32,22,26,14,12
G250013028075,2006-2010,,,Massachusetts,25,Hampden County,13,Hampden Town,28075,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hampden Town, Hampden County, Massachusetts",1937,26,71,101,85,32,35,127,74,65,108,205,262,278,173,178,117,"Hampden Town, Hampden County, Massachusetts",106,27,52,69,64,31,33,82,47,44,73,76,79,89,69,71,55
G250013030665,2006-2010,,,Massachusetts,25,Hampden County,13,Holland Town,30665,,,,,,,,,,,,,,,,,,,,,,,,,,,"Holland Town, Hampden County, Massachusetts",1059,49,37,34,44,29,85,49,43,48,59,105,181,189,49,25,33,"Holland Town, Hampden County, Massachusetts",85,42,32,29,30,20,38,35,23,25,32,42,58,55,32,18,21
