GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010
G250003004545,2006-2010,,,Massachusetts,25,Berkshire County,3,Becket town,4545,,,,,,,,,,,,,,,,,,,,,,,,,,,"Becket town, Berkshire County, Massachusetts",1602,1544,0,0,40,0,0,18,0,18,"Becket town, Berkshire County, Massachusetts",205,198,127,127,51,127,127,33,127,33
G250003013345,2006-2010,,,Massachusetts,25,Berkshire County,3,Cheshire town,13345,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cheshire town, Berkshire County, Massachusetts",3255,3221,0,0,0,0,0,34,0,34,"Cheshire town, Berkshire County, Massachusetts",15,49,127,127,127,127,127,45,127,45
G250003014010,2006-2010,,,Massachusetts,25,Berkshire County,3,Clarksburg town,14010,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarksburg town, Berkshire County, Massachusetts",1886,1879,0,7,0,0,0,0,0,0,"Clarksburg town, Berkshire County, Massachusetts",140,140,127,12,127,127,127,127,127,127
G250003016180,2006-2010,,,Massachusetts,25,Berkshire County,3,Dalton town,16180,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dalton town, Berkshire County, Massachusetts",6761,6584,80,0,79,0,11,7,0,7,"Dalton town, Berkshire County, Massachusetts",20,126,86,127,93,127,18,11,127,11
G250003021360,2006-2010,,,Massachusetts,25,Berkshire County,3,Egremont town,21360,,,,,,,,,,,,,,,,,,,,,,,,,,,"Egremont town, Berkshire County, Massachusetts",1210,1178,5,7,12,0,0,8,5,3,"Egremont town, Berkshire County, Massachusetts",125,126,9,10,14,127,127,6,6,5
G250003024120,2006-2010,,,Massachusetts,25,Berkshire County,3,Florida town,24120,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florida town, Berkshire County, Massachusetts",766,713,45,0,0,0,0,8,0,8,"Florida town, Berkshire County, Massachusetts",108,92,44,127,127,127,127,11,127,11
G250003026815,2006-2010,,,Massachusetts,25,Berkshire County,3,Great Barrington town,26815,,,,,,,,,,,,,,,,,,,,,,,,,,,"Great Barrington town, Berkshire County, Massachusetts",7160,6370,272,0,138,0,158,222,52,170,"Great Barrington town, Berkshire County, Massachusetts",29,329,162,127,148,127,212,172,61,176
G250003028180,2006-2010,,,Massachusetts,25,Berkshire County,3,Hancock town,28180,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hancock town, Berkshire County, Massachusetts",718,713,0,0,0,0,0,5,0,5,"Hancock town, Berkshire County, Massachusetts",127,125,127,127,127,127,127,7,127,7
G250003030315,2006-2010,,,Massachusetts,25,Berkshire County,3,Hinsdale town,30315,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hinsdale town, Berkshire County, Massachusetts",2228,2149,9,11,16,0,0,43,0,43,"Hinsdale town, Berkshire County, Massachusetts",188,193,12,14,19,127,127,38,127,38
G250003034340,2006-2010,,,Massachusetts,25,Berkshire County,3,Lanesborough town,34340,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lanesborough town, Berkshire County, Massachusetts",3072,2959,46,0,31,0,36,0,0,0,"Lanesborough town, Berkshire County, Massachusetts",20,111,72,127,56,127,55,127,127,127
G250003034655,2006-2010,,,Massachusetts,25,Berkshire County,3,Lee town,34655,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee town, Berkshire County, Massachusetts",5934,5789,0,0,57,0,88,0,0,0,"Lee town, Berkshire County, Massachusetts",17,152,127,127,91,127,130,127,127,127
G250003034970,2006-2010,,,Massachusetts,25,Berkshire County,3,Lenox town,34970,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lenox town, Berkshire County, Massachusetts",5022,4887,62,0,73,0,0,0,0,0,"Lenox town, Berkshire County, Massachusetts",15,93,52,127,77,127,127,127,127,127
G250003042460,2006-2010,,,Massachusetts,25,Berkshire County,3,Monterey town,42460,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monterey town, Berkshire County, Massachusetts",773,753,20,0,0,0,0,0,0,0,"Monterey town, Berkshire County, Massachusetts",240,239,27,127,127,127,127,127,127,127
G250003043300,2006-2010,,,Massachusetts,25,Berkshire County,3,Mount Washington town,43300,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mount Washington town, Berkshire County, Massachusetts",133,130,0,0,0,0,0,3,0,3,"Mount Washington town, Berkshire County, Massachusetts",38,37,127,127,127,127,127,4,127,4
G250003044385,2006-2010,,,Massachusetts,25,Berkshire County,3,New Ashford town,44385,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Ashford town, Berkshire County, Massachusetts",234,232,0,0,2,0,0,0,0,0,"New Ashford town, Berkshire County, Massachusetts",54,54,127,127,4,127,127,127,127,127
G250003045420,2006-2010,,,Massachusetts,25,Berkshire County,3,New Marlborough town,45420,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Marlborough town, Berkshire County, Massachusetts",1598,1577,12,0,0,0,0,9,4,5,"New Marlborough town, Berkshire County, Massachusetts",206,200,21,127,127,127,127,11,7,8
G250003046225,2006-2010,,,Massachusetts,25,Berkshire County,3,North Adams city,46225,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Adams city, Berkshire County, Massachusetts",13851,12706,399,85,82,27,137,415,101,314,"North Adams city, Berkshire County, Massachusetts",26,304,215,59,65,30,97,174,68,154
G250003051580,2006-2010,,,Massachusetts,25,Berkshire County,3,Otis town,51580,,,,,,,,,,,,,,,,,,,,,,,,,,,"Otis town, Berkshire County, Massachusetts",1177,1138,0,2,9,0,8,20,6,14,"Otis town, Berkshire County, Massachusetts",157,160,127,3,12,127,12,18,8,16
G250003053050,2006-2010,,,Massachusetts,25,Berkshire County,3,Peru town,53050,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peru town, Berkshire County, Massachusetts",816,797,6,0,8,0,0,5,0,5,"Peru town, Berkshire County, Massachusetts",128,129,9,127,12,127,127,9,127,9
G250003053960,2006-2010,,,Massachusetts,25,Berkshire County,3,Pittsfield city,53960,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pittsfield city, Berkshire County, Massachusetts",44788,40316,2323,98,327,22,378,1324,290,1034,"Pittsfield city, Berkshire County, Massachusetts",34,431,377,60,157,35,166,309,166,314
G250003056795,2006-2010,,,Massachusetts,25,Berkshire County,3,Richmond town,56795,,,,,,,,,,,,,,,,,,,,,,,,,,,"Richmond town, Berkshire County, Massachusetts",1710,1691,0,9,0,0,3,7,0,7,"Richmond town, Berkshire County, Massachusetts",149,146,127,14,127,127,5,10,127,10
G250003059665,2006-2010,,,Massachusetts,25,Berkshire County,3,Sandisfield town,59665,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sandisfield town, Berkshire County, Massachusetts",831,781,0,0,18,0,10,22,0,22,"Sandisfield town, Berkshire County, Massachusetts",114,113,127,127,16,127,11,23,127,23
