GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010
G250009005595,2006-2010,,,Massachusetts,25,Essex County,9,Beverly city,5595,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beverly city, Essex County, Massachusetts",39351,36687,1289,26,656,42,186,465,63,402,"Beverly city, Essex County, Massachusetts",29,576,541,40,317,53,135,199,64,203
G250009007420,2006-2010,,,Massachusetts,25,Essex County,9,Boxford town,7420,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boxford town, Essex County, Massachusetts",7917,7643,0,0,130,0,10,134,17,117,"Boxford town, Essex County, Massachusetts",32,198,127,127,112,127,17,111,28,107
G250009016250,2006-2010,,,Massachusetts,25,Essex County,9,Danvers town,16250,,,,,,,,,,,,,,,,,,,,,,,,,,,"Danvers town, Essex County, Massachusetts",26113,25372,68,14,356,0,206,97,34,63,"Danvers town, Essex County, Massachusetts",22,308,72,23,258,127,158,85,39,68
G250009021850,2006-2010,,,Massachusetts,25,Essex County,9,Essex town,21850,,,,,,,,,,,,,,,,,,,,,,,,,,,"Essex town, Essex County, Massachusetts",3445,3406,11,0,0,0,22,6,0,6,"Essex town, Essex County, Massachusetts",14,57,18,127,127,127,35,11,127,11
G250009025625,2006-2010,,,Massachusetts,25,Essex County,9,Georgetown town,25625,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georgetown town, Essex County, Massachusetts",7995,7900,30,11,11,0,10,33,0,33,"Georgetown town, Essex County, Massachusetts",18,103,46,17,18,127,16,50,127,50
G250009026150,2006-2010,,,Massachusetts,25,Essex County,9,Gloucester city,26150,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gloucester city, Essex County, Massachusetts",28893,27946,151,67,227,0,191,311,0,311,"Gloucester city, Essex County, Massachusetts",26,284,99,70,142,127,146,167,127,167
G250009027620,2006-2010,,,Massachusetts,25,Essex County,9,Groveland town,27620,,,,,,,,,,,,,,,,,,,,,,,,,,,"Groveland town, Essex County, Massachusetts",6350,6297,0,0,53,0,0,0,0,0,"Groveland town, Essex County, Massachusetts",17,45,127,127,41,127,127,127,127,127
G250009027900,2006-2010,,,Massachusetts,25,Essex County,9,Hamilton town,27900,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hamilton town, Essex County, Massachusetts",7825,6758,16,34,733,98,35,151,16,135,"Hamilton town, Essex County, Massachusetts",28,430,19,58,381,112,55,118,28,117
G250009029405,2006-2010,,,Massachusetts,25,Essex County,9,Haverhill city,29405,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haverhill city, Essex County, Massachusetts",60203,49107,2448,177,1436,0,5876,1159,336,823,"Haverhill city, Essex County, Massachusetts",43,1302,683,120,424,127,963,352,198,286
G250009032310,2006-2010,,,Massachusetts,25,Essex County,9,Ipswich town,32310,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ipswich town, Essex County, Massachusetts",13074,12805,24,9,139,0,12,85,10,75,"Ipswich town, Essex County, Massachusetts",24,120,38,14,87,127,19,53,17,49
G250009034550,2006-2010,,,Massachusetts,25,Essex County,9,Lawrence city,34550,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence city, Essex County, Massachusetts",75177,23632,2301,186,2671,101,43814,2472,1254,1218,"Lawrence city, Essex County, Massachusetts",61,1594,569,113,621,140,1663,536,319,382
G250009037490,2006-2010,,,Massachusetts,25,Essex County,9,Lynn city,37490,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lynn city, Essex County, Massachusetts",89625,61036,12055,98,5059,0,7485,3892,480,3412,"Lynn city, Essex County, Massachusetts",72,1598,1153,71,780,127,1197,819,192,795
G250009037560,2006-2010,,,Massachusetts,25,Essex County,9,Lynnfield town,37560,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lynnfield town, Essex County, Massachusetts",11487,11011,0,8,364,18,0,86,0,86,"Lynnfield town, Essex County, Massachusetts",25,200,127,13,189,30,127,76,127,76
G250009037995,2006-2010,,,Massachusetts,25,Essex County,9,Manchester-by-the-Sea town,37995,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manchester-by-the-Sea town, Essex County, Massachusetts",5129,5051,0,0,0,0,21,57,45,12,"Manchester-by-the-Sea town, Essex County, Massachusetts",31,108,127,127,127,127,33,75,72,19
G250009038400,2006-2010,,,Massachusetts,25,Essex County,9,Marblehead town,38400,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marblehead town, Essex County, Massachusetts",19797,19215,90,44,222,0,70,156,0,156,"Marblehead town, Essex County, Massachusetts",22,210,105,58,102,127,68,100,127,100
G250009040430,2006-2010,,,Massachusetts,25,Essex County,9,Merrimac town,40430,,,,,,,,,,,,,,,,,,,,,,,,,,,"Merrimac town, Essex County, Massachusetts",6264,6092,59,0,78,0,0,35,0,35,"Merrimac town, Essex County, Massachusetts",18,124,54,127,106,127,127,33,127,33
G250009040710,2006-2010,,,Massachusetts,25,Essex County,9,Methuen Town city,40710,,,,,,,,,,,,,,,,,,,,,,,,,,,"Methuen Town city, Essex County, Massachusetts",46393,36882,912,25,2033,35,5508,998,564,434,"Methuen Town city, Essex County, Massachusetts",49,903,344,29,577,58,802,424,384,224
G250009041095,2006-2010,,,Massachusetts,25,Essex County,9,Middleton town,41095,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middleton town, Essex County, Massachusetts",8717,7814,74,31,274,0,438,86,0,86,"Middleton town, Essex County, Massachusetts",25,279,40,36,146,127,159,99,127,99
G250009043580,2006-2010,,,Massachusetts,25,Essex County,9,Nahant town,43580,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nahant town, Essex County, Massachusetts",3431,3210,119,0,58,0,34,10,0,10,"Nahant town, Essex County, Massachusetts",15,153,136,127,78,127,31,17,127,17
G250009045175,2006-2010,,,Massachusetts,25,Essex County,9,Newbury town,45175,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newbury town, Essex County, Massachusetts",6643,6483,90,0,31,0,21,18,0,18,"Newbury town, Essex County, Massachusetts",28,121,108,127,37,127,34,29,127,29
G250009045245,2006-2010,,,Massachusetts,25,Essex County,9,Newburyport city,45245,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newburyport city, Essex County, Massachusetts",17288,16547,84,25,246,0,114,272,100,172,"Newburyport city, Essex County, Massachusetts",24,280,55,30,193,127,81,168,104,124
G250009046365,2006-2010,,,Massachusetts,25,Essex County,9,North Andover town,46365,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Andover town, Essex County, Massachusetts",27965,25278,302,70,1423,0,611,281,6,275,"North Andover town, Essex County, Massachusetts",24,536,262,63,282,127,302,145,13,145
G250009052490,2006-2010,,,Massachusetts,25,Essex County,9,Peabody city,52490,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peabody city, Essex County, Massachusetts",50455,46322,772,6,1295,0,1552,508,54,454,"Peabody city, Essex County, Massachusetts",30,847,311,10,416,127,640,270,51,251
G250009057880,2006-2010,,,Massachusetts,25,Essex County,9,Rockport town,57880,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rockport town, Essex County, Massachusetts",7053,6910,0,19,38,0,35,51,6,45,"Rockport town, Essex County, Massachusetts",28,88,127,21,47,127,41,50,19,44
G250009058405,2006-2010,,,Massachusetts,25,Essex County,9,Rowley town,58405,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rowley town, Essex County, Massachusetts",5757,5747,0,0,10,0,0,0,0,0,"Rowley town, Essex County, Massachusetts",19,27,127,127,18,127,127,127,127,127
G250009059105,2006-2010,,,Massachusetts,25,Essex County,9,Salem city,59105,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salem city, Essex County, Massachusetts",40964,33959,2435,110,1146,0,2311,1003,196,807,"Salem city, Essex County, Massachusetts",38,871,662,100,376,127,542,397,137,366
G250009059245,2006-2010,,,Massachusetts,25,Essex County,9,Salisbury town,59245,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salisbury town, Essex County, Massachusetts",8157,8022,49,11,0,0,27,48,0,48,"Salisbury town, Essex County, Massachusetts",18,96,44,17,127,127,46,57,127,57
G250009060015,2006-2010,,,Massachusetts,25,Essex County,9,Saugus town,60015,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saugus town, Essex County, Massachusetts",26392,24325,476,29,806,0,245,511,40,471,"Saugus town, Essex County, Massachusetts",26,564,208,37,285,127,177,270,44,265
G250009068645,2006-2010,,,Massachusetts,25,Essex County,9,Swampscott town,68645,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swampscott town, Essex County, Massachusetts",13819,13149,190,49,150,0,223,58,0,58,"Swampscott town, Essex County, Massachusetts",22,286,120,78,112,127,152,51,127,51
G250009070150,2006-2010,,,Massachusetts,25,Essex County,9,Topsfield town,70150,,,,,,,,,,,,,,,,,,,,,,,,,,,"Topsfield town, Essex County, Massachusetts",6057,5889,0,51,117,0,0,0,0,0,"Topsfield town, Essex County, Massachusetts",23,145,127,61,126,127,127,127,127,127
G250009074595,2006-2010,,,Massachusetts,25,Essex County,9,Wenham town,74595,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wenham town, Essex County, Massachusetts",4794,4586,27,0,132,0,0,49,0,49,"Wenham town, Essex County, Massachusetts",28,133,44,127,105,127,127,38,127,38
G250009077150,2006-2010,,,Massachusetts,25,Essex County,9,West Newbury town,77150,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Newbury town, Essex County, Massachusetts",4189,4189,0,0,0,0,0,0,0,0,"West Newbury town, Essex County, Massachusetts",21,21,127,127,127,127,127,127,127,127
G250011002095,2006-2010,,,Massachusetts,25,Franklin County,11,Ashfield town,2095,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashfield town, Franklin County, Massachusetts",1732,1685,20,0,4,0,0,23,0,23,"Ashfield town, Franklin County, Massachusetts",150,139,25,127,6,127,127,22,127,22
G250011005560,2006-2010,,,Massachusetts,25,Franklin County,11,Bernardston town,5560,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bernardston town, Franklin County, Massachusetts",2241,2220,0,0,6,0,0,15,0,15,"Bernardston town, Franklin County, Massachusetts",180,179,127,127,10,127,127,21,127,21
G250011009595,2006-2010,,,Massachusetts,25,Franklin County,11,Buckland town,9595,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buckland town, Franklin County, Massachusetts",2068,2036,17,0,10,0,5,0,0,0,"Buckland town, Franklin County, Massachusetts",258,261,20,127,12,127,9,127,127,127
G250011012505,2006-2010,,,Massachusetts,25,Franklin County,11,Charlemont town,12505,,,,,,,,,,,,,,,,,,,,,,,,,,,"Charlemont town, Franklin County, Massachusetts",1199,1141,21,3,15,0,8,11,0,11,"Charlemont town, Franklin County, Massachusetts",127,120,22,5,19,127,14,13,127,13
G250011014885,2006-2010,,,Massachusetts,25,Franklin County,11,Colrain town,14885,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colrain town, Franklin County, Massachusetts",1811,1709,4,33,32,0,0,33,2,31,"Colrain town, Franklin County, Massachusetts",163,153,5,29,27,127,127,34,3,33
G250011015200,2006-2010,,,Massachusetts,25,Franklin County,11,Conway town,15200,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conway town, Franklin County, Massachusetts",1917,1839,11,16,10,0,2,39,16,23,"Conway town, Franklin County, Massachusetts",148,144,16,24,11,127,4,34,22,24
G250011016670,2006-2010,,,Massachusetts,25,Franklin County,11,Deerfield town,16670,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deerfield town, Franklin County, Massachusetts",5070,4936,13,0,57,0,0,64,0,64,"Deerfield town, Franklin County, Massachusetts",18,98,22,127,60,127,127,53,127,53
G250011021780,2006-2010,,,Massachusetts,25,Franklin County,11,Erving town,21780,,,,,,,,,,,,,,,,,,,,,,,,,,,"Erving town, Franklin County, Massachusetts",1822,1735,1,0,8,0,22,56,0,56,"Erving town, Franklin County, Massachusetts",180,181,2,127,11,127,19,26,127,26
G250011025730,2006-2010,,,Massachusetts,25,Franklin County,11,Gill town,25730,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gill town, Franklin County, Massachusetts",1413,1381,5,13,0,0,0,14,0,14,"Gill town, Franklin County, Massachusetts",122,125,7,15,127,127,127,22,127,22
G250011027100,2006-2010,,,Massachusetts,25,Franklin County,11,Greenfield Town city,27100,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenfield Town city, Franklin County, Massachusetts",17610,16542,260,10,183,0,219,396,65,331,"Greenfield Town city, Franklin County, Massachusetts",25,247,124,18,137,127,110,131,63,119
G250011029475,2006-2010,,,Massachusetts,25,Franklin County,11,Hawley town,29475,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hawley town, Franklin County, Massachusetts",354,354,0,0,0,0,0,0,0,0,"Hawley town, Franklin County, Massachusetts",84,84,127,127,127,127,127,127,127,127
G250011029650,2006-2010,,,Massachusetts,25,Franklin County,11,Heath town,29650,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heath town, Franklin County, Massachusetts",438,436,0,0,2,0,0,0,0,0,"Heath town, Franklin County, Massachusetts",91,90,127,127,3,127,127,127,127,127
G250011035180,2006-2010,,,Massachusetts,25,Franklin County,11,Leverett town,35180,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leverett town, Franklin County, Massachusetts",1803,1595,15,0,150,0,10,33,12,21,"Leverett town, Franklin County, Massachusetts",239,177,18,127,183,127,12,26,17,18
G250011035285,2006-2010,,,Massachusetts,25,Franklin County,11,Leyden town,35285,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leyden town, Franklin County, Massachusetts",650,650,0,0,0,0,0,0,0,0,"Leyden town, Franklin County, Massachusetts",133,133,127,127,127,127,127,127,127,127
G250011042040,2006-2010,,,Massachusetts,25,Franklin County,11,Monroe town,42040,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe town, Franklin County, Massachusetts",110,110,0,0,0,0,0,0,0,0,"Monroe town, Franklin County, Massachusetts",42,42,127,127,127,127,127,127,127,127
G250011042285,2006-2010,,,Massachusetts,25,Franklin County,11,Montague town,42285,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montague town, Franklin County, Massachusetts",8454,7651,262,74,150,0,33,284,21,263,"Montague town, Franklin County, Massachusetts",22,225,148,86,106,127,56,125,33,120
G250011045490,2006-2010,,,Massachusetts,25,Franklin County,11,New Salem town,45490,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Salem town, Franklin County, Massachusetts",931,895,22,0,3,0,11,0,0,0,"New Salem town, Franklin County, Massachusetts",136,134,23,127,5,127,17,127,127,127
G250011047835,2006-2010,,,Massachusetts,25,Franklin County,11,Northfield town,47835,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northfield town, Franklin County, Massachusetts",3029,2996,0,0,0,0,33,0,0,0,"Northfield town, Franklin County, Massachusetts",23,62,127,127,127,127,55,127,127,127
G250011051265,2006-2010,,,Massachusetts,25,Franklin County,11,Orange town,51265,,,,,,,,,,,,,,,,,,,,,,,,,,,"Orange town, Franklin County, Massachusetts",7795,7564,87,16,0,0,18,110,59,51,"Orange town, Franklin County, Massachusetts",18,102,56,21,127,127,26,85,67,52
G250011058335,2006-2010,,,Massachusetts,25,Franklin County,11,Rowe town,58335,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rowe town, Franklin County, Massachusetts",387,372,0,0,1,0,0,14,0,14,"Rowe town, Franklin County, Massachusetts",54,49,127,127,2,127,127,15,127,15
G250011061135,2006-2010,,,Massachusetts,25,Franklin County,11,Shelburne town,61135,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelburne town, Franklin County, Massachusetts",2035,1939,27,0,28,0,6,35,7,28,"Shelburne town, Franklin County, Massachusetts",264,276,31,127,26,127,10,47,11,45
G250011061905,2006-2010,,,Massachusetts,25,Franklin County,11,Shutesbury town,61905,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shutesbury town, Franklin County, Massachusetts",1890,1752,11,0,33,0,0,94,0,94,"Shutesbury town, Franklin County, Massachusetts",187,178,16,127,25,127,127,68,127,68
G250011068400,2006-2010,,,Massachusetts,25,Franklin County,11,Sunderland town,68400,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunderland town, Franklin County, Massachusetts",3712,3323,0,15,177,0,125,72,0,72,"Sunderland town, Franklin County, Massachusetts",23,145,127,22,102,127,76,52,127,52
G250011073265,2006-2010,,,Massachusetts,25,Franklin County,11,Warwick town,73265,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warwick town, Franklin County, Massachusetts",547,534,0,0,9,0,0,4,0,4,"Warwick town, Franklin County, Massachusetts",103,105,127,127,9,127,127,6,127,6
G250011074525,2006-2010,,,Massachusetts,25,Franklin County,11,Wendell town,74525,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wendell town, Franklin County, Massachusetts",939,869,52,0,2,0,0,16,0,16,"Wendell town, Franklin County, Massachusetts",145,137,54,127,5,127,127,19,127,19
G250011079110,2006-2010,,,Massachusetts,25,Franklin County,11,Whately town,79110,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whately town, Franklin County, Massachusetts",1566,1496,6,0,0,0,10,54,0,54,"Whately town, Franklin County, Massachusetts",207,193,9,127,127,127,23,41,127,41
G250013000840,2006-2010,,,Massachusetts,25,Hampden County,13,Agawam Town city,840,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agawam Town city, Hampden County, Massachusetts",28383,26860,490,143,268,0,404,218,0,218,"Agawam Town city, Hampden County, Massachusetts",23,519,259,158,156,127,363,111,127,111
G250013006085,2006-2010,,,Massachusetts,25,Hampden County,13,Blandford town,6085,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blandford town, Hampden County, Massachusetts",1184,1164,0,0,13,0,7,0,0,0,"Blandford town, Hampden County, Massachusetts",122,121,127,127,12,127,7,127,127,127
G250013008470,2006-2010,,,Massachusetts,25,Hampden County,13,Brimfield town,8470,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brimfield town, Hampden County, Massachusetts",3557,3541,0,0,0,0,16,0,0,0,"Brimfield town, Hampden County, Massachusetts",13,29,127,127,127,127,24,127,127,127
G250013013485,2006-2010,,,Massachusetts,25,Hampden County,13,Chester town,13485,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chester town, Hampden County, Massachusetts",1275,1268,0,0,0,0,0,7,3,4,"Chester town, Hampden County, Massachusetts",132,132,127,127,127,127,127,7,5,6
G250013013660,2006-2010,,,Massachusetts,25,Hampden County,13,Chicopee city,13660,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicopee city, Hampden County, Massachusetts",55165,47767,1888,66,817,0,3956,671,92,579,"Chicopee city, Hampden County, Massachusetts",32,1020,432,51,339,127,753,256,71,237
G250013019645,2006-2010,,,Massachusetts,25,Hampden County,13,East Longmeadow town,19645,,,,,,,,,,,,,,,,,,,,,,,,,,,"East Longmeadow town, Hampden County, Massachusetts",15446,14488,253,26,342,0,62,275,17,258,"East Longmeadow town, Hampden County, Massachusetts",26,299,159,29,206,127,64,175,19,175
G250013026675,2006-2010,,,Massachusetts,25,Hampden County,13,Granville town,26675,,,,,,,,,,,,,,,,,,,,,,,,,,,"Granville town, Hampden County, Massachusetts",1525,1479,0,8,10,0,7,21,0,21,"Granville town, Hampden County, Massachusetts",152,152,127,11,9,127,9,19,127,19
G250013028075,2006-2010,,,Massachusetts,25,Hampden County,13,Hampden town,28075,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hampden town, Hampden County, Massachusetts",5126,5012,48,0,0,0,0,66,0,66,"Hampden town, Hampden County, Massachusetts",19,150,49,127,127,127,127,101,127,101
G250013030665,2006-2010,,,Massachusetts,25,Hampden County,13,Holland town,30665,,,,,,,,,,,,,,,,,,,,,,,,,,,"Holland town, Hampden County, Massachusetts",2644,2522,27,6,54,0,0,35,0,35,"Holland town, Hampden County, Massachusetts",231,222,32,9,59,127,127,30,127,30
G250013030840,2006-2010,,,Massachusetts,25,Hampden County,13,Holyoke city,30840,,,,,,,,,,,,,,,,,,,,,,,,,,,"Holyoke city, Hampden County, Massachusetts",39885,33795,1180,288,566,0,3317,739,433,306,"Holyoke city, Hampden County, Massachusetts",28,871,334,190,263,127,630,311,261,175
G250013036300,2006-2010,,,Massachusetts,25,Hampden County,13,Longmeadow town,36300,,,,,,,,,,,,,,,,,,,,,,,,,,,"Longmeadow town, Hampden County, Massachusetts",15759,14746,115,0,691,0,62,145,20,125,"Longmeadow town, Hampden County, Massachusetts",24,429,76,127,385,127,94,121,24,120
G250013037175,2006-2010,,,Massachusetts,25,Hampden County,13,Ludlow town,37175,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ludlow town, Hampden County, Massachusetts",21156,19865,492,24,15,0,358,402,25,377,"Ludlow town, Hampden County, Massachusetts",25,288,145,24,24,127,132,231,30,235
G250013042145,2006-2010,,,Massachusetts,25,Hampden County,13,Monson town,42145,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monson town, Hampden County, Massachusetts",8534,8265,105,13,0,0,21,130,0,130,"Monson town, Hampden County, Massachusetts",45,155,82,22,127,127,31,127,127,127
G250013042530,2006-2010,,,Massachusetts,25,Hampden County,13,Montgomery town,42530,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery town, Hampden County, Massachusetts",732,720,3,0,0,0,0,9,0,9,"Montgomery town, Hampden County, Massachusetts",118,117,4,127,127,127,127,10,127,10
G250013052144,2006-2010,,,Massachusetts,25,Hampden County,13,Palmer Town city,52144,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palmer Town city, Hampden County, Massachusetts",12196,11792,58,0,79,0,0,267,0,267,"Palmer Town city, Hampden County, Massachusetts",23,179,53,127,64,127,127,175,127,175
G250013058650,2006-2010,,,Massachusetts,25,Hampden County,13,Russell town,58650,,,,,,,,,,,,,,,,,,,,,,,,,,,"Russell town, Hampden County, Massachusetts",1665,1557,17,0,0,0,65,26,0,26,"Russell town, Hampden County, Massachusetts",211,197,21,127,127,127,73,38,127,38
G250013065825,2006-2010,,,Massachusetts,25,Hampden County,13,Southwick town,65825,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southwick town, Hampden County, Massachusetts",9378,9183,0,0,45,0,105,45,45,0,"Southwick town, Hampden County, Massachusetts",21,143,127,127,53,127,106,55,55,127
G250013067000,2006-2010,,,Massachusetts,25,Hampden County,13,Springfield city,67000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Springfield city, Hampden County, Massachusetts",152906,78539,33330,364,3769,21,31235,5648,1732,3916,"Springfield city, Hampden County, Massachusetts",73,2126,1177,254,537,34,1712,784,449,767
G250013070045,2006-2010,,,Massachusetts,25,Hampden County,13,Tolland town,70045,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tolland town, Hampden County, Massachusetts",494,494,0,0,0,0,0,0,0,0,"Tolland town, Hampden County, Massachusetts",102,102,127,127,127,127,127,127,127,127
G250013072390,2006-2010,,,Massachusetts,25,Hampden County,13,Wales town,72390,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wales town, Hampden County, Massachusetts",1910,1856,13,11,0,0,0,30,0,30,"Wales town, Hampden County, Massachusetts",198,195,18,14,127,127,127,26,127,26
G250013076030,2006-2010,,,Massachusetts,25,Hampden County,13,Westfield city,76030,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westfield city, Hampden County, Massachusetts",40974,38098,624,79,751,29,763,630,206,424,"Westfield city, Hampden County, Massachusetts",24,702,254,68,319,35,302,331,148,276
G250013077890,2006-2010,,,Massachusetts,25,Hampden County,13,West Springfield Town city,77890,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Springfield Town city, Hampden County, Massachusetts",28287,25017,806,279,1155,0,848,182,67,115,"West Springfield Town city, Hampden County, Massachusetts",29,722,346,227,398,127,445,107,76,92
G250013079740,2006-2010,,,Massachusetts,25,Hampden County,13,Wilbraham town,79740,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilbraham town, Hampden County, Massachusetts",14089,13476,280,0,173,0,43,117,66,51,"Wilbraham town, Hampden County, Massachusetts",27,278,219,127,120,127,60,77,66,47
G250015001325,2006-2010,,,Massachusetts,25,Hampshire County,15,Amherst town,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amherst town, Hampshire County, Massachusetts",37403,29535,1887,74,3995,0,900,1012,207,805,"Amherst town, Hampshire County, Massachusetts",29,531,287,63,381,127,338,273,142,202
G250015004825,2006-2010,,,Massachusetts,25,Hampshire County,15,Belchertown town,4825,,,,,,,,,,,,,,,,,,,,,,,,,,,"Belchertown town, Hampshire County, Massachusetts",14354,13340,169,0,349,0,221,275,88,187,"Belchertown town, Hampshire County, Massachusetts",33,369,111,127,231,127,218,144,78,111
G250015013590,2006-2010,,,Massachusetts,25,Hampshire County,15,Chesterfield town,13590,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chesterfield town, Hampshire County, Massachusetts",1015,1009,2,0,0,0,0,4,0,4,"Chesterfield town, Hampshire County, Massachusetts",98,98,4,127,127,127,127,5,127,5
G250015016040,2006-2010,,,Massachusetts,25,Hampshire County,15,Cummington town,16040,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cummington town, Hampshire County, Massachusetts",1100,1091,0,0,0,0,0,9,4,5,"Cummington town, Hampshire County, Massachusetts",184,186,127,127,127,127,127,9,7,5
G250015019370,2006-2010,,,Massachusetts,25,Hampshire County,15,Easthampton Town city,19370,,,,,,,,,,,,,,,,,,,,,,,,,,,"Easthampton Town city, Hampshire County, Massachusetts",16054,15044,153,0,648,0,22,187,0,187,"Easthampton Town city, Hampshire County, Massachusetts",35,430,126,127,385,127,105,113,127,113
G250015026290,2006-2010,,,Massachusetts,25,Hampshire County,15,Goshen town,26290,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goshen town, Hampshire County, Massachusetts",1080,1020,0,0,39,0,0,21,3,18,"Goshen town, Hampshire County, Massachusetts",207,197,127,127,36,127,127,23,5,22
G250015026535,2006-2010,,,Massachusetts,25,Hampshire County,15,Granby town,26535,,,,,,,,,,,,,,,,,,,,,,,,,,,"Granby town, Hampshire County, Massachusetts",6229,5928,0,0,124,0,33,144,120,24,"Granby town, Hampshire County, Massachusetts",18,173,127,127,127,127,41,107,99,39
G250015027690,2006-2010,,,Massachusetts,25,Hampshire County,15,Hadley town,27690,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hadley town, Hampshire County, Massachusetts",5176,4878,170,0,19,0,58,51,0,51,"Hadley town, Hampshire County, Massachusetts",22,138,118,127,36,127,57,53,127,53
G250015029265,2006-2010,,,Massachusetts,25,Hampshire County,15,Hatfield town,29265,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hatfield town, Hampshire County, Massachusetts",3268,3181,19,14,0,0,25,29,0,29,"Hatfield town, Hampshire County, Massachusetts",26,64,22,21,127,127,38,33,127,33
G250015031785,2006-2010,,,Massachusetts,25,Hampshire County,15,Huntington town,31785,,,,,,,,,,,,,,,,,,,,,,,,,,,"Huntington town, Hampshire County, Massachusetts",2206,2064,0,0,9,0,28,105,19,86,"Huntington town, Hampshire County, Massachusetts",171,189,127,127,15,127,37,61,22,58
